Year,Month,Day,Time,Latitude,Longitude,Depth,mb,MS,Region,CMT Name,CMT Time,T Err,CMT Lat,Lat Err,CMT Lon,Lon Err,CMT Depth,Depth Err,Exponent,Mrr,Mrr Err,Mtt,Mtt Err,Mpp,Mpp Err,Mrt,Mrt Err,Mrp,Mrp Err,Mtp,Mtp Err,Eigenvalue 1,Plunge 1,Azimuth 1,Eigenvalue 2,Plunge 2,Azimuth 2,Eigenvalue 3,Plunge 3,Azimuth 3,Moment,Strike 1,Dip 1,Rake 1,Strike 2,Dip 2,Rake 2
"1976","1","13",13:29:19.5,66.16,-16.58,33,6,6.4,ICELANDREGION,C011376A,5.4,0.2,66.33,0.02,-16.29,0.04,15,0,18,-0.51,0.04,-2.86,0.04,3.37,0.04,0.05,0.16,-0.78,0.2,-0.86,0.04,3.63,"11","82",-0.65,"79","255","-2.980","1","352",3.3e+18,"127","82","173","218","83","9"
"1976","11","18",05:43:41.3,-4.17,135.14,33,5.8,6.3,WESTIRIANREGION,C111876B,4.4,0.2,-4.17,0.02,134.93,0.02,15,0,18,0.79,0.04,-1.48,0.04,0.69,0.04,2.24,0.17,-5.63,0.16,1.87,0.04,6.38,"46","87",0.17,"19","336","-6.550","38","231",6.47e+18,"259","19","12","158","86","109"
"1977","1","6",18:33:43.5,-2.51,28.7,21,5.3,0,LAKETANGANYIKAREGION,B010677C,2.9,0.9,-2.31,0.13,28.39,0.1,13.9,7.5,16,-4.732,0.507,3.726,0.813,1.006,0.703,0,0,0,0,2.222,0.541,4.97,"0","151",-0.24,"0","61","-4.730","90","180",4.85e+16,"241","45","-90","61","45","-90"
"1977","1","18",05:41:49.6,-41.73,174.25,50,5.9,6,"COOKSTRAIT,NEWZEALAND",B011877A,7,0.4,-41.76,0.05,174.29,0.08,26.4,3.9,17,-8.155,0.579,5.14,0.727,3.014,0.597,6.272,1.604,9.275,1.779,8.17,0.671,17.04,"24","315",-3.5,"13","220","-13.550","63","103",1.53e+18,"70","24","-57","215","70","-104"
"1977","4","23",14:49:09.1,75.23,134.38,37,5,4.2,LAPTEVSEA,B042377A,4.1,2.7,74.67,0.56,133.62,0.85,10,0,16,-1.838,0.439,-1.318,0.495,3.155,0.453,0,0,0,0,-0.011,0.517,3.16,"0","90",-1.32,"0","180","-1.840","90","180",2.5e+16,"180","45","-90","0","45","-90"
"1977","12","15",23:20:53.6,-4.76,34.91,33,4.8,5.6,TANZANIA,B121577A,3.7,0.4,-4.84,0.06,34.7,0.06,15,0,17,-3.132,0.111,1.465,0.166,1.666,0.151,2.107,0.456,-0.711,0.464,-1.623,0.118,3.77,"16","42",0.18,"13","308","-3.950","69","182",3.86e+17,"151","31","-64","302","63","-104"
"1977","12","28",02:45:36.7,16.66,40.28,33,5.9,6.6,REDSEA,C122877A,7.7,0.3,15.97,0.03,40.32,0.02,10.1,0,18,-1.106,0.17,-3.781,0.194,4.887,0.151,-2.247,0.727,-3.475,0.699,-7.862,0.145,9.86,"10","62",0.13,"65","174","-10.000","23","327",9.93e+18,"106","66","-171","13","81","-24"
"1977","12","28",20:32:40.8,64.6,-17.29,10,5,5.2,ICELAND,B122877B,4.5,0.4,64.45,0.07,-17.73,0.15,15,0,17,1.304,0.082,-0.601,0.115,-0.703,0.064,0.637,0.201,0.902,0.314,0.17,0.081,1.83,"65","307",-0.76,"9","198","-1.070","23","104",1.45e+17,"176","23","67","21","69","100"
"1978","1","8",06:31:52.8,-12.09,34.27,33,5.1,0,MALAWI*,B010878A,2.3,1.7,-11.76,0.13,34.45,0.14,15,0,16,-2.912,0.399,-0.112,0.496,3.024,0.435,0,0,0,0,-1.516,0.415,3.64,"0","248",-0.73,"0","158","-2.910","90","180",3.27e+16,"338","45","-90","158","45","-90"
"1978","1","17",15:00:27.4,16.52,40.26,10,5.2,5,REDSEA,B011778B,7.5,1.5,17.51,0.15,40.49,0.09,15,0,17,-0.084,0.108,-0.52,0.181,0.603,0.112,0,0,0,0,-1.292,0.119,1.45,"0","237",-0.08,"90","180","-1.370","0","147",1.41e+17,"282","90","180","12","90","0"
"1978","4","3",09:48:35.0,-4.85,133.92,33,6.2,6.1,WESTIRIANREGION,C040378B,1.3,0.3,-5,0.03,133.78,0.03,24.3,1.3,18,-2.916,0.079,0.292,0.055,2.624,0.062,1.07,0.182,1.114,0.19,0.559,0.055,3.06,"13","286",0.33,"11","19","-3.380","73","149",3.22e+18,"2","34","-111","206","59","-77"
"1978","5","18",12:33:34.0,40.67,122.53,33,5.4,5.2,NORTHEASTERNCHINA,B051878C,0.4,0.5,40.79,0.07,122.56,0.09,15,0,17,-0.447,0.074,1.568,0.07,-1.12,0.1,1.009,0.247,-0.11,0.236,1.19,0.069,2.32,"18","342",-0.56,"60","107","-1.760","23","243",2.04e+17,"23","60","-177","292","87","-30"
"1978","11","7",17:05:55.2,11.54,42.59,33,5.3,5.4,ETHIOPIA,B110778A,3.3,0.3,11.64,0.03,42.67,0.02,15,0,17,-2.104,0.102,6.756,0.138,-4.653,0.123,2.704,0.43,-2.454,0.3,-4.883,0.123,9.55,"16","22",-2.64,"65","150","-6.910","19","286",8.23e+17,"64","65","-178","334","89","-25"
"1978","11","8",05:08:01.7,11.56,42.57,62,4.9,0,ETHIOPIA,B110878B,0.6,0.3,11.66,0.03,42.67,0.03,15,0,17,-0.328,0.089,4.925,0.131,-4.597,0.107,0.471,0.292,1.238,0.332,-3.002,0.108,5.79,"1","16",-0.01,"76","282","-5.780","14","106",5.79e+17,"150","80","-9","242","81","-170"
"1978","12","21",04:03:55.7,11.51,43.09,33,5.2,5.4,ETHIOPIA,B122178C,3.5,0.6,11.79,0.05,42.91,0.05,15,0,17,-0.873,0.094,4.142,0.142,-3.269,0.113,0.606,0.33,1.197,0.293,-3.346,0.117,5.43,"1","21",-0.44,"72","287","-4.990","18","111",5.21e+17,"155","76","-12","247","78","-166"
"1979","2","22",09:16:37.0,19.98,-100.27,51,5.3,4.9,CENTRALMEXICO,B022279A,-3.9,1.5,19.73,0.12,-99.98,0.07,15,0,17,-1.461,0.074,1.527,0.093,-0.067,0.115,-0.441,0.319,-0.156,0.211,0.652,0.07,1.83,"8","160",-0.3,"0","70","-1.530","82","340",1.68e+17,"250","37","-90","70","53","-90"
"1979","6","14",11:44:45.9,38.81,26.53,23,5.8,5.6,OFFWESTTURKEY,B061479A,2.4,0.7,37.58,0.08,26.4,0.06,15,0,17,-4.608,0.188,5.452,0.274,-0.844,0.144,1.9,0.51,2.349,0.378,-0.848,0.171,5.83,"9","4",0.28,"25","269","-6.110","63","113",5.97e+17,"121","42","-50","253","59","-120"
"1979","6","16",18:42:00.3,38.75,26.63,18,4.8,5.1,AEGEANSEA,B061679A,2.8,1.4,38.46,0.13,26.77,0.11,15,0,17,-0.865,0.071,1.19,0.102,-0.325,0.053,0.324,0.206,0.358,0.115,-0.284,0.063,1.27,"7","8",-0.15,"28","275","-1.120","61","111",1.2e+17,"127","45","-48","255","58","-124"
"1979","6","19",04:15:16.5,37.16,111.85,33,5,4.9,NORTHEASTERNCHINA,B061979C,2.7,0.7,36.83,0.11,111.5,0.17,33,0,16,-3.588,0.569,3.926,0.471,-0.338,0.688,-2.299,1.277,-1.519,0.847,0.545,0.599,4.75,"17","169",-0.11,"13","75","-4.640","68","309",4.7e+16,"278","30","-63","68","63","-105"
"1979","6","22",23:17:59.2,64.54,-17.45,10,5.4,4.8,ICELAND,B062279B,5.4,0.8,64.9,0.12,-16.94,0.27,15,0,16,6.573,0.684,-4.677,0.966,-1.896,0.559,-3.071,1.741,-4.339,2.254,0.478,0.594,9.06,"65","121",-3.44,"16","249","-5.620","19","344",7.34e+16,"99","30","124","241","66","72"
"1979","7","9",10:57:22.1,31.45,119.24,11,5.5,5.4,EASTERNCHINA,B070979A,2.5,0.5,31.11,0.06,118.99,0.08,15,0,17,0.801,0.071,1.222,0.056,-2.023,0.088,0.432,0.165,0.118,0.195,0.095,0.068,1.5,"32","357",0.53,"58","182","-2.030","2","89",1.76e+17,"138","66","22","38","70","155"
"1980","1","14",04:10:54.0,16.52,40.27,10,5.3,5.7,REDSEA,B011480B,7,0.3,17.12,0.03,40.53,0.02,15,0,18,-0.108,0.021,-0.978,0.032,1.087,0.022,-0.386,0.075,-0.046,0.065,-0.859,0.024,1.4,"3","250",0,"73","148","-1.400","16","341",1.4e+18,"24","76","-9","116","81","-166"
"1980","1","14",12:28:22.6,16.45,40.23,10,5.3,5.1,REDSEA,B011480D,6.5,0.8,16.99,0.09,40.12,0.11,15,0,17,1.32,0.322,-4.942,0.262,3.622,0.308,0,0,0,0,-2.22,0.341,4.16,"0","256",1.32,"90","180","-5.480","0","166",4.82e+17,"301","90","180","31","90","0"
"1980","1","28",14:46:39.3,-3.39,88.87,33,5.4,5.2,SOUTHINDIANOCEAN,B012880B,0.5,0.4,-2.98,0.04,88.71,0.04,15,0,17,-0.562,0.058,-0.611,0.083,1.173,0.07,-0.151,0.241,0.39,0.192,-2.384,0.059,2.87,"7","235",-0.6,"82","29","-2.270","3","145",2.57e+17,"280","83","178","10","88","7"
"1980","8","12",12:11:44.4,64.72,-17.25,10,5.2,5.3,ICELAND,B081280A,8.5,0.3,64.57,0.05,-17.12,0.11,15,0,17,1.99,0.066,-0.883,0.095,-1.108,0.076,0.919,0.234,0.776,0.303,0.252,0.066,2.45,"69","321",-1.15,"18","171","-1.300","10","77",1.87e+17,"147","39","60","3","57","112"
"1980","9","15",04:28:13.7,-61.39,-56.43,33,5.8,5.8,SOUTHSHETLANDISLANDS,B091580A,3.7,0.2,-61.25,0.02,-56.85,0.06,32,0,17,-4.125,0.131,1.937,0.159,2.188,0.215,-5.981,0.227,-4.633,0.21,2.197,0.132,8.68,"31","138",-0.06,"4","230","-8.620","59","327",8.65e+17,"215","15","-105","51","76","-86"
"1980","12","25",11:37:27.5,66.43,-17.73,10,5.1,5.1,ICELANDREGION*,B122580D,6,0.6,66.59,0.11,-17.91,0.12,15,0,16,-3.541,0.644,-1.365,1.008,4.906,0.498,0,0,0,0,-1.027,0.41,5.07,"0","261",-1.53,"0","171","-3.540","90","180",4.31e+16,"351","45","-90","171","45","-90"
"1981","5","22",09:51:18.2,52,105.76,29,5.1,5,LAKEBAIKAL,B052281B,3.4,0.7,52.05,0.14,106.32,0.18,29,0,16,-7.671,1.239,2.095,1.143,5.576,1.229,9.179,2.22,7.215,2.438,2.625,1.466,13.03,"29","310",1.42,"8","45","-14.450","60","149",1.374e+17,"18","18","-118","227","74","-81"
"1981","5","27",21:26:06.4,54.01,108.85,22,5.1,5,LAKEBAIKAL,B052781A,1.1,0.6,54.03,0.09,109.42,0.16,22,0,16,-7.238,0.808,4.364,0.805,2.874,0.83,5.773,1.342,1.66,1.318,0.991,0.936,7.3,"22","339",2.43,"2","70","-9.730","67","166",8.51e+16,"64","23","-96","251","67","-87"
"1981","7","30",16:46:18.8,-2.71,28.46,33,5,4,LAKETANGANYIKAREGION,B073081B,0.3,1.1,-2.43,0.11,28.13,0.13,15,0,16,-4.524,0.593,3.181,0.401,1.342,0.67,0,0,0,0,2.648,0.694,5.06,"0","145",-0.54,"0","55","-4.520","90","180",4.79e+16,"235","45","-90","55","45","-90"
"1982","1","14",09:53:46.3,-9.44,151.88,33,5.7,5.9,DENTRECASTEAUXISLANDS,B011482A,1.6,0.3,-9.26,0.04,151.8,0.05,11.2,4.6,18,-0.125,0.045,1.037,0.051,-0.912,0.071,-0.165,0.159,0.427,0.144,-1.155,0.046,1.64,"11","206",-0.11,"73","334","-1.520","13","113",1.58e+18,"250","73","-178","160","88","-17"
"1982","2","14",14:37:33.9,38.27,125.68,53,5.1,0,NORTHKOREA,B021482B,-1.7,0.5,38.66,0.13,125.38,0.16,15,0,16,-3.529,0.501,4.571,0.38,-1.042,0.711,-0.462,2.053,0.124,1.361,2.141,0.409,5.31,"3","161",-1.73,"8","252","-3.590","81","54",4.45e+16,"243","43","-102","79","48","-79"
"1982","7","3",23:21:12.0,-3.74,28.95,10,5.2,0,LAKETANGANYIKAREGION,B070382C,10.6,0.6,-3.65,0.1,29.01,0.07,15,0,17,-0.706,0.061,-0.43,0.049,1.136,0.073,0.324,0.125,0.161,0.176,-0.063,0.074,1.15,"5","269",-0.22,"33","2","-0.930","56","172",1.04e+17,"328","50","-136","206","58","-50"
"1982","9","16",12:19:07.3,-6.96,67.78,10,5.1,4.9,CARLSBERGRIDGE,B091682C,2.6,1,-6.96,0,67.78,0,15,0,16,-8.342,0.572,2.297,0.845,6.045,0.657,-0.583,2.292,1.718,2.907,-6.888,0.58,11.46,"5","233",-2.91,"6","323","-8.550","82","103",1e+17,"316","40","-99","148","50","-82"
"1982","12","8",13:02:45.6,22.58,-106.91,10,5.1,5.3,NEARCOASTOFMID-MEXICO,B120882C,3.5,1.4,22.92,0.13,-107.54,0.09,15,0,16,-2.536,0.654,-4.195,0.848,6.731,0.692,0,0,0,0,6.533,0.658,9.78,"0","115",-2.54,"90","180","-7.250","0","25",8.52e+16,"160","90","180","250","90","0"
"1982","12","12",19:57:32.8,-63.06,-60.73,33,5.5,4.7,SOUTHSHETLANDISLANDS,B121282A,1.6,0.5,-63.76,0.06,-60.98,0.18,15,0,17,-1.176,0.055,0.396,0.067,0.78,0.086,0.451,0.18,-0.351,0.167,0.762,0.056,1.37,"0","128",0.07,"25","38","-1.440","65","218",1.41e+17,"241","50","-57","15","50","-123"
"1982","12","13",02:50:51.6,-63.28,-61.24,33,5.7,5.4,SOUTHSHETLANDISLANDS,B121382A,6.4,0.2,-64.02,0.03,-60.35,0.07,11.2,1.7,17,-9.896,0.241,4.591,0.274,5.304,0.337,5.485,1.238,3.283,0.999,7.162,0.274,13.74,"15","315",-1.95,"9","48","-11.790","73","168",1.276e+18,"32","31","-108","233","60","-80"
"1983","5","23",06:54:37.9,-13.82,171.29,38,5.8,5.6,VANUATUISLANDSREGION,B052383B,5.8,0.6,-13.41,0.06,171.18,0.05,10.1,0,17,-2.941,0.157,5.032,0.206,-2.091,0.201,0.971,0.677,-2.66,0.483,3.856,0.177,6.72,"1","156",-0.5,"49","65","-6.220","41","247",6.47e+17,"284","62","-31","29","63","-148"
"1983","7","11",12:56:28.1,-60.9,-52.94,10,6.1,6.9,SOUTHSHETLANDISLANDS,C071183A,13.3,0.1,-60.99,0.01,-52.57,0.03,13.6,1.1,19,-1.868,0.036,0.372,0.025,1.496,0.04,0.682,0.121,0.169,0.115,3.027,0.028,4.07,"5","310",-1.6,"52","47","-2.460","37","216",3.26e+19,"0","60","-155","257","69","-32"
"1983","9","3",10:21:24.9,-15.39,41.39,10,5.4,5.3,MOZAMBIQUECHANNEL,B090383A,2.9,2,-15.35,0.2,41.04,0.13,15,0,16,-4.096,0.433,0.334,0.543,3.761,0.504,0,0,0,0,-1.462,0.499,4.3,"0","250",-0.2,"0","160","-4.100","90","180",4.2e+16,"340","45","-90","160","45","-90"
"1983","9","28",21:02:33.4,11.52,43.1,5,5.1,4.6,ETHIOPIA,B092883B,6.3,0.7,11.71,0.09,43.01,0.09,15,0,16,0.42,0.848,8.786,0.537,-9.206,0.754,-3.359,1.683,2.614,1.754,-2.663,0.928,10.55,"20","191",-0.51,"66","337","-10.050","12","96",1.03e+17,"232","67","174","324","84","23"
"1983","9","30",18:58:13.7,11.81,43.26,10,5.4,5.4,ETHIOPIA,B093083A,4.4,0.3,11.83,0.02,43.47,0.05,37.4,3.2,17,-1.686,0.119,4.519,0.125,-2.834,0.169,0.711,0.223,-0.945,0.215,-1.624,0.137,4.98,"8","13",-1.46,"65","119","-3.520","24","279",4.25e+17,"58","67","-168","324","79","-23"
"1983","11","30",17:46:00.4,-6.89,72.12,10,6.6,7.5,CHAGOSARCHIPELAGO,C113083C,28.5,0.1,-6.35,0.01,71.75,0.01,10,0,20,-3.129,0.025,3.344,0.023,-0.215,0.026,-1.771,0.165,-1.701,0.135,-0.155,0.021,3.82,"15","176",0.47,"21","80","-4.280","64","299",4.05e+20,"293","35","-52","69","63","-113"
"1983","12","1",05:45:34.2,-6.66,71.43,10,5.9,5.6,CHAGOSARCHIPELAGOREG.,B120183A,8.7,0.5,-6.66,0,71.43,0,10,0,17,-3.457,0.168,4.001,0.231,-0.544,0.204,-1.606,0.676,-2.686,0.517,-1.17,0.21,4.42,"9","189",1.05,"32","93","-5.470","57","292",4.95e+17,"310","46","-43","73","61","-127"
"1983","12","1",18:23:41.4,-6.47,71.33,10,5.3,5.2,CHAGOSARCHIPELAGOREG.,B120183C,9.3,2.2,-6.32,0.2,71.6,0.16,17,0,16,-4.035,0.417,5.144,0.55,-1.109,0.519,0.743,1.435,-0.433,1.182,-1.067,0.461,5.39,"5","9",-1.25,"6","100","-4.140","82","241",4.76e+16,"93","40","-99","285","50","-82"
"1983","12","1",22:29:29.6,-6.68,71.81,10,5.4,5.3,CHAGOSARCHIPELAGOREG.,B120183B,6.8,0.3,-6.68,0,71.81,0,10,0,17,-4.028,0.1,4.566,0.129,-0.538,0.119,1.205,0.373,-2.241,0.296,-0.326,0.124,4.81,"10","8",0.4,"24","102","-5.210","64","257",5.01e+17,"71","41","-128","297","59","-62"
"1983","12","2",20:38:16.0,-6.58,71.09,10,5.3,4.9,CHAGOSARCHIPELAGOREG.,B120283C,6.4,0.6,-6.52,0.05,71.2,0.03,18,0,17,-1.936,0.046,1.661,0.056,0.274,0.051,0.532,0.158,0.192,0.12,-0.993,0.057,2.21,"5","27",-0.15,"13","295","-2.070","76","139",2.14e+17,"131","41","-70","285","52","-107"
"1983","12","2",23:08:39.4,7.03,38.6,10,5.1,4.3,ETHIOPIA,B120283D,7,0.6,7.41,0.1,38.59,0.06,15,0,17,-1.195,0.067,-0.09,0.071,1.285,0.078,0.086,0.216,0.253,0.217,-0.285,0.077,1.36,"5","259",-0.13,"7","350","-1.230","81","132",1.3e+17,"342","40","-101","176","51","-81"
"1983","12","3",17:43:14.4,-6.54,71.41,10,6.3,6.3,CHAGOSARCHIPELAGOREG.,C120383B,9.3,0.2,-6.45,0.02,71.27,0.02,11.9,1,18,-2.255,0.04,2.591,0.042,-0.336,0.039,-1.473,0.224,-1.203,0.182,-0.491,0.04,3.01,"15","183",0.23,"24","86","-3.240","61","302",3.13e+18,"303","37","-47","74","64","-117"
"1983","12","4",13:06:30.2,-6.81,72.3,10,5,4.4,CHAGOSARCHIPELAGOREG.,B120483B,8.2,1.7,-6.06,0.15,72.85,0.16,15,0,16,-2.779,0.275,3.517,0.32,-0.739,0.292,0,0,0,0,0.14,0.353,3.52,"0","178",-0.74,"0","88","-2.780","90","180",3.15e+16,"268","45","-90","88","45","-90"
"1983","12","12",17:23:13.3,-6.61,71.46,10,5.3,5.2,CHAGOSARCHIPELAGOREG.,B121283B,10.6,0.5,-6.61,0,71.46,0,10,0,17,-2.107,0.082,2.092,0.1,0.015,0.099,0.063,0.325,-0.694,0.252,-0.81,0.099,2.39,"4","20",-0.07,"17","111","-2.320","72","278",2.36e+17,"92","44","-115","305","51","-68"
"1983","12","20",12:22:34.1,-6.76,72.27,10,5.1,4.9,CHAGOSARCHIPELAGOREG.,B122083F,8.1,0.9,-6.45,0.09,72.47,0.08,15,0,16,-8.422,0.658,6.933,0.874,1.489,0.664,0,0,0,0,1.01,0.81,7.11,"0","170",1.31,"0","80","-8.420","90","180",7.77e+16,"260","45","-90","80","45","-90"
"1983","12","27",03:11:57.8,-6.57,71.16,10,5.1,0,CHAGOSARCHIPELAGOREG.,B122783D,6.4,2.1,-6,0.17,71.21,0.13,15,0,16,-3.746,0.355,3.934,0.397,-0.188,0.477,0,0,0,0,-0.995,0.418,4.16,"0","193",-0.42,"0","103","-3.750","90","180",3.95e+16,"283","45","-90","103","45","-90"
"1983","12","29",05:51:43.1,-6.61,71.19,10,5.1,5.4,CHAGOSARCHIPELAGOREG.,B122983A,3.7,0.6,-6.61,0,71.19,0,10,0,16,-9.228,0.498,6.586,0.616,2.642,0.557,-3.055,1.893,-7.561,1.487,-5.516,0.662,10.71,"7","40",3.52,"31","134","-14.230","58","298",1.247e+17,"100","46","-135","335","59","-54"
"1984","2","11",08:02:50.0,38.38,22.07,15,5.3,5.4,GREECE,B021184A,4.8,0.7,38.11,0.08,21.86,0.11,15,0,17,-2.471,0.166,2.52,0.18,-0.05,0.149,1.831,0.491,-1.204,0.389,-0.12,0.182,3.2,"19","10",0.24,"14","105","-3.440","65","229",3.32e+17,"77","28","-121","291","66","-74"
"1984","4","5",03:01:33.7,-6.89,72.32,10,5.3,5.2,CHAGOSARCHILPELAGOREG.,B040584A,5.7,0.5,-6.89,0,72.32,0,10,0,17,-1.516,0.074,1.714,0.132,-0.198,0.126,-0.517,0.262,-0.602,0.233,0.146,0.083,1.82,"10","173",-0.02,"18","80","-1.800","69","290",1.81e+17,"284","38","-59","67","58","-112"
"1984","4","26",10:11:10.1,-6.87,71.5,10,6,5.2,CHAGOSARCHIPELAGOREG.,B042684A,8.9,0.6,-6.4,0.06,71.6,0.04,10,0,17,-2.112,0.057,2.197,0.073,-0.085,0.076,-0.833,0.331,-0.694,0.214,-0.431,0.069,2.39,"9","187",0.12,"19","94","-2.510","69","303",2.45e+17,"299","39","-60","81","57","-112"
"1984","5","6",09:12:01.7,38.82,25.66,10,5,5.3,AEGEANSEA,B050684A,5.6,0.4,38.66,0.05,25.57,0.1,10,0,17,-0.444,0.071,1.524,0.065,-1.079,0.09,-0.077,0.243,0.089,0.249,-0.972,0.081,1.85,"3","198",-0.45,"86","324","-1.410","4","108",1.63e+17,"243","86","-179","153","89","-4"
"1984","5","21",15:39:00.6,32.67,121.51,33,5.7,6,EASTERNCHINA,B052184B,0.8,0.4,32.56,0.03,121.37,0.04,24.3,2.6,18,0.544,0.023,0.554,0.026,-1.098,0.035,-0.05,0.048,0.039,0.054,0.849,0.026,0.92,"5","157",0.54,"85","319","-1.460","2","67",1.19e+18,"202","85","178","292","88","5"
"1984","6","17",07:48:02.6,38.86,25.72,23,5,6.1,AEGEANSEA,B061784B,5.8,1,38.86,0,25.72,0,15,0,16,-1.329,0.764,4.873,1.133,-3.544,0.502,1.295,1.35,1.026,0.94,-4.228,0.589,6.71,"6","22",-0.94,"71","275","-5.780","18","114",6.24e+16,"156","73","-9","249","82","-163"
"1984","6","28",11:19:46.7,-9.66,151.78,20,5.5,5.6,DENTRECASTEAUXIS.REG.,B062884A,1.6,0.3,-10.14,0.04,151.84,0.03,25.6,3.6,17,-2.245,0.151,6.643,0.199,-4.399,0.254,-0.532,0.551,-1.962,0.433,-3.325,0.169,7.57,"0","16",-1.23,"64","106","-6.330","26","286",6.95e+17,"64","72","-161","327","72","-19"
"1984","8","25",20:37:50.4,-8.62,32.59,10,5.4,4.8,TANZANIA,B082584A,9.6,0.6,-7.88,0.12,32.79,0.06,10,0,16,-8.389,0.423,1.735,0.44,6.654,0.511,-1.271,1.607,-3.636,1.551,-5.528,0.605,10.55,"7","59",-0.72,"21","152","-9.830","68","310",1.019e+17,"126","42","-122","347","56","-64"
"1984","10","26",07:44:27.9,-16.48,28.66,10,5.4,0,ZAMBIA,B102684B,7.2,0.8,-15.77,0.14,28.62,0.13,10,0,16,-5.987,0.619,2.81,0.681,3.177,0.806,-2.411,2.728,-9.886,2.571,1.08,0.722,10.16,"32","110",2.28,"4","17","-12.440","58","280",1.13e+17,"215","13","-71","16","77","-94"
"1984","11","22",13:52:58.7,68.52,140.82,33,5.4,5,EASTERNSIBERIA,B112284B,-3.3,0.5,69.11,0.12,140.13,0.28,26.1,9.3,16,2.215,0.598,-2.695,0.738,0.48,0.878,3.437,2.919,0.862,1.347,3.751,0.608,5.48,"43","316",0.47,"41","101","-5.950","18","208",5.71e+16,"341","45","158","87","75","47"
"1985","2","17",21:36:51.7,-4.74,134.14,33,5.1,5.5,WESTIRIANREGION,B021785B,4.1,0.9,-4.4,0.1,133.45,0.08,27.2,6.8,17,-0.616,0.083,-1.298,0.12,1.914,0.153,0.881,0.246,-0.57,0.232,0.96,0.086,2.22,"7","104",-0.01,"56","3","-2.200","33","198",2.21e+17,"236","62","-19","335","73","-151"
"1985","4","18",05:52:52.7,25.9,102.87,5,5.7,5.8,"YUNNANPROVINCE,CHINA",B041885B,3,0.4,25.39,0.05,102.64,0.07,10,0,17,-0.933,0.17,-0.648,0.21,1.582,0.3,-0.591,0.494,-2.489,0.619,-3.996,0.159,5.09,"16","57",-0.31,"56","172","-4.780","29","317",4.93e+17,"100","57","-170","5","82","-33"
"1985","6","28",22:46:20.5,-2.31,29.01,10,4.9,0,LAKETANGANYIKAREGION,B062885C,1.9,1.2,-2.31,0,29.01,0,10,0,16,-3.35,0.48,1.066,0.74,2.284,0.59,0,0,0,0,1.127,0.609,2.96,"0","121",0.39,"0","31","-3.350","90","180",3.15e+16,"211","45","-90","31","45","-90"
"1985","8","20",05:46:00.7,5.53,36.04,10,5.4,4.8,ETHIOPIA,B082085A,4.9,0.4,5.72,0.07,35.96,0.09,10,0,16,-9.432,0.387,6.903,0.611,2.529,0.602,-2.84,2.34,-9.815,1.691,6.667,0.527,14.71,"20","136",0.27,"21","38","-14.980","60","265",1.484e+17,"258","31","-45","29","68","-113"
"1985","8","30",19:01:41.4,67.66,-18.62,10,5.1,4.6,ICELANDREGION,B083085B,4.7,0.9,67.66,0,-18.62,0,10,0,16,-4.08,0.852,1.471,1.255,2.609,0.624,-3.995,2.056,-1.478,1.502,1.603,0.703,5.25,"23","137",0.95,"14","233","-6.210","63","351",5.73e+16,"202","25","-123","59","69","-76"
"1985","10","4",15:17:06.9,-18.31,48.46,10,5.3,5,MALAGASAYREPUBLIC,B100485C,9.1,0.4,-18.08,0.04,48.62,0.05,10,0,17,-2.098,0.05,0.209,0.068,1.889,0.072,-0.284,0.184,-1.343,0.269,-0.642,0.052,2.43,"15","76",0.16,"13","169","-2.590","70","298",2.51e+17,"147","32","-115","357","61","-75"
"1985","10","29",14:10:39.5,-9.56,150.99,10,6,6.7,E.PAPUANEWGUINEAREG.,C102985B,9.5,0.2,-9.64,0.02,151.24,0.02,10,0,18,-3.971,0.059,4.339,0.05,-0.367,0.06,-0.87,0.359,-0.96,0.257,0.353,0.049,4.47,"6","175",-0.19,"13","83","-4.280","76","291",4.37e+18,"279","40","-70","73","53","-106"
"1985","10","29",21:38:04.4,-9.57,151.1,10,5.2,4.7,DENTRECASTEAUXIS.REG.,B102985D,2.6,0.9,-9.94,0.09,151.37,0.07,10,0,16,-6.386,0.466,8.921,0.612,-2.535,0.647,0.11,2.258,-3.142,1.458,-2.33,0.499,9.41,"3","12",-1.2,"30","103","-8.210","60","277",8.81e+16,"74","50","-131","308","55","-52"
"1986","4","29",07:28:04.9,-4.53,133.65,26,5.5,4.9,WESTIRIANREGION,B042986A,1.3,0.7,-4.56,0.08,133.73,0.09,15,0,17,-0.504,0.065,-0.726,0.084,1.23,0.09,0.666,0.213,0.061,0.28,0.449,0.072,1.35,"7","285",-0.03,"51","23","-1.330","38","189",1.34e+17,"334","58","-156","231","70","-34"
"1986","6","20",07:00:05.8,81.84,119.72,10,4.9,0,EASTOFSEVERNAYAZEMLYA,B062086B,1.9,1,81.7,0.17,122.63,0.88,15,0,16,-2.236,0.306,-0.195,0.254,2.431,0.386,-0.711,0.835,1.143,1.291,-0.795,0.308,2.98,"14","253",-0.36,"9","161","-2.620","73","39",2.8e+16,"356","32","-73","156","60","-100"
"1986","6","29",21:47:59.2,-5.2,29.59,14,5,5.5,LAKETANGANYIKAREGION**,B062986G,10.7,0.4,-4.96,0.05,29.46,0.03,29,0,17,-2.081,0.087,-0.804,0.096,2.886,0.12,1.952,0.16,4.636,0.179,-0.839,0.115,5.68,"31","273",0.08,"18","15","-5.750","53","130",5.71e+17,"318","22","-148","198","79","-71"
