time,lat,lon,wind_dir,wind_strength,dt,bin_dt,id_map,lat_map,lon_map,proba,M0
1099593.0855863125,0.2272037043932306,-169.9919632255441,-90.24365756737002,55.7229038689929,305.44252377397567,306,350,0.9090909090909065,-169.0909090909091,0.14318495850104085,7.2
1101022.2423483804,0.2241231781951859,-170.70735142376338,-90.24365756737002,55.7229038689929,305.839511763439,306,350,0.9090909090909065,-169.0909090909091,0.14318495850104085,7.2
1107759.9866077576,0.2024419289885088,-174.01605402772188,-90.36666710473524,54.66641940639833,307.7111073910438,308,250,0.9090909090909065,-172.72727272727272,0.14402788363741503,7.2
1116031.2950136757,0.1734843536852998,-178.01490987158635,-90.4053926217914,53.81974715094846,310.00869305935436,311,150,0.9090909090909065,-176.36363636363637,0.14486998093318326,7.2
1119987.6699655594,0.157542252955485,-179.89952762535228,-90.47864873383703,53.028650404248616,311.1076861015443,312,50,0.9090909090909065,-180.0,0.1457112513619463,7.2
1126643.9329058789,0.1306460382451414,176.92976775796012,-90.47864873383703,53.028650404248616,312.9566480294108,313,9850,0.9090909090909065,176.36363636363637,0.14655169581756422,7.2
1132729.617373532,0.1038625979172187,174.00238895019203,-90.51758313294246,53.54978494116638,314.6471159370922,315,9750,0.9090909090909065,172.7272727272727,0.14739131561083252,7.2
1134471.3699110444,0.0962319261415699,173.16455904351128,-90.51758313294246,53.54978494116638,315.1309360864012,316,9750,0.9090909090909065,172.7272727272727,0.14823010938875358,7.2
1140915.1628055132,0.0609881410733464,170.01705818991996,-90.63492140292988,54.377838736708505,316.920878557087,317,9650,0.9090909090909065,169.09090909090907,0.14906808046095255,7.2
1142717.9063639487,0.0511572369463566,169.13649974273116,-90.63492140292988,54.377838736708505,317.4216406566524,318,9650,0.9090909090909065,169.09090909090907,0.14990522713735444,7.2
1149120.1706609367,0.016223997971147,166.01446148810476,-90.63570169465196,54.28784140867876,319.2000474058158,320,9550,0.9090909090909065,165.45454545454544,0.1507415527481606,7.2
1151016.9720508333,0.0058901368736023,165.08949395275047,-90.63570169465196,54.28784140867876,319.72693668078705,320,9550,0.9090909090909065,165.45454545454544,0.1507415527481606,7.2
1157400.788767678,-0.024783795449089,162.01426012497515,-90.5677689863576,53.62783302368807,321.50021910213275,322,9449,-0.9090909090909065,161.8181818181818,0.15157705778825747,7.2
1163771.439037589,-0.0437460914817269,158.96341807057698,-90.35455783374547,53.31082073473279,323.26984417710804,324,9349,-0.9090909090909065,158.1818181818182,0.15241174317086914,7.2
1171944.2182247734,-0.0698619805190313,154.99777848867447,-90.37660865034262,54.01616688355812,325.5400606179926,326,9249,-0.9090909090909065,154.54545454545456,0.15324560954587585,7.2
1180029.1212251382,-0.0973009096569556,151.0169785688139,-90.39502570134482,54.81210271732148,327.7858670069828,328,9149,-0.9090909090909065,150.90909090909088,0.15407865754818206,7.2
1181744.3381662988,-0.1031519857881412,150.17244933826368,-90.39502570134482,54.81210271732148,328.26231615730524,329,9149,-0.9090909090909065,150.90909090909088,0.1549108859870092,7.2
1188189.6397407842,-0.1263391378389672,147.01648185449594,-90.4211867509557,54.50937279862978,330.05267770577336,331,9049,-0.9090909090909065,147.27272727272725,0.1557422975025936,7.2
1189855.468919961,-0.1323626894358658,146.20080177733817,-90.4211867509557,54.50937279862978,330.5154080333225,331,9049,-0.9090909090909065,147.27272727272725,0.1557422975025936,7.2
1196425.4745377323,-0.1581156230625968,142.97334522185173,-90.4580840599736,54.68624779668702,332.3404095938145,333,8949,-0.9090909090909065,143.63636363636363,0.15657289274302166,7.2
1202431.0674875695,-0.1827092420610215,139.9974460860944,-90.47464930033252,55.16279284125012,334.0086298576582,335,8849,-0.9090909090909065,140.0,0.1574026723303944,7.2
1210336.8926541128,-0.2126896267141881,135.97625276184516,-90.43107428201104,56.62240256336724,336.2046924039202,337,8749,-0.9090909090909065,136.36363636363637,0.1582316368678125,7.2
1218490.764534088,-0.2517893295370484,131.98962560274066,-90.56602194283307,54.42895593686199,338.46965681502445,339,8649,-0.9090909090909065,132.7272727272727,0.15905978701101442,7.2
1226326.7898143793,-0.2829390535736399,128.01065067146868,-90.4546449675804,56.5268795993952,340.64633050399425,341,8549,-0.9090909090909065,129.09090909090907,0.15988712339586197,7.2
1227626.674193427,-0.2881929496544316,127.35059539102608,-90.4546449675804,56.5268795993952,341.0074094981742,342,8549,-0.9090909090909065,129.09090909090907,0.16071364582808467,7.2
1234403.7726910478,-0.316781585185946,123.9575958751176,-90.48834288915536,55.734024380989,342.88993685862437,343,8449,-0.9090909090909065,125.45454545454544,0.16153935590755908,7.2
