f1,f2,nightglow,nightglow_q25,nightglow_q75,dayglow,dayglow_q25,dayglow_q75,store
0.0,0.0031622776601683794,0.00024073279055544406,0.00011100095984688822,0.0005718474948535732,0.7782366570990837,0.390213218345701,1.2067877795920035,Cold100
0.0031622776601683794,0.03162277660168379,0.005981291786507858,0.003485822571638635,0.007680587942432,4.684692185992744,2.5980928809916297,6.7261234607382105,Cold100
0.03162277660168379,0.31622776601683794,0.008857346380439762,0.006671355854209725,0.010781259278501881,0.37749949022160917,0.2734583359447038,0.47582962489762287,Cold100
0.31622776601683794,1.0,0.000589489766144412,0.0005318834590600691,0.0006303989471824882,0.007908575732589665,0.00646177251752892,0.00962056035196676,Cold100
0.0,0.0031622776601683794,0.0005285067808680672,0.0002966697416604587,0.0011338789990423845,1.1040845013879723,0.6472283096582726,2.1788130067772515,Hot10
0.0031622776601683794,0.03162277660168379,0.005753642200621352,0.0039320564220920095,0.008547486542047436,6.040907387156768,3.464495211272342,9.352773819439754,Hot10
0.03162277660168379,0.31622776601683794,0.005848519584565,0.0041008883233832295,0.007783745666674346,0.25153165917101455,0.19425790990201258,0.36722920988668944,Hot10
0.31622776601683794,1.0,0.000541314834523903,0.000495298688370481,0.0005742952074661424,0.005725116354612326,0.004903340507275529,0.006826078256550369,Hot10
0.0,0.0031622776601683794,0.000583327702930509,0.0003132018854718116,0.001255933134114148,1.2060470169539537,0.7120550562172082,2.398414346846662,Hot25
0.0031622776601683794,0.03162277660168379,0.00598506209049639,0.003919736923836783,0.007863103122885325,5.573121515980884,3.5567795982540686,8.46203957934005,Hot25
0.03162277660168379,0.31622776601683794,0.007131714834173234,0.005871116535828321,0.009424272132846552,0.27864681813536135,0.21806860661882177,0.3615900743863505,Hot25
0.31622776601683794,1.0,0.0005671379420535057,0.0005173906145257822,0.0006035990396890942,0.005794783391449007,0.004305237437996935,0.00701278531220757,Hot25
0.0,0.0031622776601683794,0.0005567027831663169,0.0003212498112276868,0.0012479048705675054,1.194518939722384,0.6995535194907005,2.290077683688459,Hot40
0.0031622776601683794,0.03162277660168379,0.006326200374994432,0.004352081413782159,0.008948148623697352,6.297228150761341,3.58075753286245,9.98027676904821,Hot40
0.03162277660168379,0.31622776601683794,0.007930614568236597,0.005802845093547105,0.01047453741643583,0.2783881374004983,0.22944306621969904,0.39283117150626806,Hot40
0.31622776601683794,1.0,0.0005707099930844619,0.0005117297309089381,0.0006056651499489407,0.005578897815917988,0.004534524449953985,0.006664140539843922,Hot40
