     0.000	     6.156	     3.738	     2.659	    77.279	    50.000
     3.000	     6.146	     3.735	     2.659	    77.279	    50.000
     5.000	     6.134	     3.731	     2.659	    77.279	    50.000
     7.000	     6.124	     3.727	     2.659	    77.279	    50.000
     9.000	     6.115	     3.724	     2.660	    77.279	    50.000
    11.000	     6.105	     3.720	     2.660	   609.461	   395.380
    13.000	     6.095	     3.717	     2.661	   704.195	   456.337
    15.000	     6.087	     3.715	     2.664	   783.078	   506.910
    17.000	     6.085	     3.713	     2.669	   847.132	   547.829
    19.000	     6.074	     3.710	     2.671	   897.374	   579.821
    21.000	     6.068	     3.707	     2.672	   965.615	   623.323
    23.000	     6.054	     3.704	     2.673	   993.453	   641.448
    25.000	     6.047	     3.701	     2.674	   998.035	   644.989
    27.000	     6.041	     3.698	     2.676	   976.241	   631.864
    29.000	     6.046	     3.706	     2.683	   924.956	   599.990
    31.000	     6.060	     3.713	     2.689	   958.161	   624.055
    33.000	     6.110	     3.732	     2.701	   970.096	   633.965
    35.000	     6.130	     3.743	     2.709	   963.192	   631.291
    37.000	     6.127	     3.754	     2.718	   939.881	   617.607
    39.000	     6.123	     3.753	     2.720	   902.595	   594.485
    41.000	     6.118	     3.752	     2.723	   853.766	   563.499
    43.000	     6.130	     3.751	     2.726	   795.825	   526.221
    45.000	     6.145	     3.751	     2.729	   731.204	   484.224
    47.000	     6.139	     3.750	     2.732	   662.335	   439.082
    49.000	     6.147	     3.749	     2.734	   591.650	   392.367
    51.000	     7.798	     4.340	     3.482	   521.581	   345.652
    53.000	     7.796	     4.336	     3.482	   454.558	   300.509
    55.000	     7.794	     4.333	     3.482	   393.015	   258.513
    57.000	     7.791	     4.330	     3.483	   339.383	   221.235
    59.000	     7.790	     4.326	     3.483	   292.976	   189.873
    61.000	     7.788	     4.323	     3.483	   258.522	   166.597
    63.000	     7.786	     4.320	     3.484	   234.118	   150.285
    65.000	     7.785	     4.317	     3.484	   226.456	   145.205
    67.000	     7.783	     4.314	     3.484	   239.135	   153.747
    69.000	     7.782	     4.311	     3.485	   277.248	   179.406
    70.000	     7.781	     4.309	     3.485	   283.606	   183.573
    85.000	     7.779	     4.293	     3.489	   293.256	   189.922
   100.000	     7.785	     4.281	     3.496	   295.997	   191.595
   115.000	     7.798	     4.275	     3.504	   306.506	   198.475
   130.000	     7.819	     4.273	     3.513	   323.564	   209.751
   145.000	     7.844	     4.275	     3.524	   345.954	   224.609
   160.000	     7.875	     4.280	     3.535	   372.459	   242.237
   175.000	     7.908	     4.287	     3.547	   401.861	   261.822
   190.000	     7.944	     4.296	     3.560	   433.349	   282.822
   205.000	     7.980	     4.305	     3.572	   465.060	   303.995
   220.000	     8.017	     4.316	     3.585	   510.267	   334.338
   235.000	     8.055	     4.326	     3.598	   549.855	   360.859
   250.000	     8.094	     4.337	     3.611	   544.812	   357.452
   265.000	     8.132	     4.348	     3.625	   546.277	   358.862
   280.000	     8.170	     4.359	     3.638	   551.375	   362.819
   295.000	     8.208	     4.370	     3.651	   556.679	   366.789
   310.000	     8.246	     4.381	     3.664	   566.673	   373.393
   325.000	     8.283	     4.392	     3.677	   578.849	   381.041
   340.000	     8.321	     4.403	     3.690	   592.066	   389.002
   355.000	     8.358	     4.413	     3.703	   601.961	   394.282
   370.000	     8.508	     4.533	     3.750	   606.820	   395.739
   500.000	     9.443	     5.108	     3.985	   608.019	   394.126
   750.000	    10.453	     5.744	     4.487	   626.906	   415.608
  1000.000	    11.050	     6.066	     4.699	   637.041	   424.444
  1250.000	    11.418	     6.212	     4.834	   639.569	   422.148
  1500.000	    11.755	     6.343	     4.961	   635.173	   410.231
  1750.000	    12.066	     6.460	     5.082	   625.081	   390.206
  2000.000	    12.357	     6.567	     5.196	   610.260	   363.586
  2250.000	    12.631	     6.665	     5.305	   591.224	   331.436
  2500.000	    12.891	     6.756	     5.411	   569.217	   295.522
  2750.000	    13.140	     6.841	     5.514	   521.308	   241.145
  3000.000	    13.274	     6.805	     5.570	   453.618	   173.407
  3250.000	     8.109	     0.000	     9.944	   421.911	   130.399
  3500.000	     8.421	     0.000	    10.240	   338.577	     0.000
  3750.000	     8.694	     0.000	    10.502	   336.356	     0.000
  4000.000	     8.930	     0.000	    10.734	   338.577	     0.000
  4250.000	     9.132	     0.000	    10.936	   338.577	     0.000
  4500.000	     9.303	     0.000	    11.108	   339.417	     0.000
  4750.000	     9.446	     0.000	    11.254	   337.796	     0.000
  5000.000	     9.563	     0.000	    11.374	   337.796	     0.000
  5250.000	     9.652	     0.000	    11.466	   337.796	     0.000
  5500.000	     9.719	     0.000	    11.535	   338.577	     0.000
  5750.000	     9.761	     0.000	    11.579	   337.057	     0.000
  6000.000	     9.779	     0.000	    11.597	   337.057	     0.000
