period,dayglow,nightglow
100.0,412.9812957858322,2.6638177535199477
95.45484566618342,392.8840504531102,2.569228864474803
91.11627561154891,373.4356559124239,2.4737405572393
86.97490026177834,354.6952449765089,2.3779999480513245
83.02175681319744,336.5663617313037,2.282081006779343
79.24828983539173,319.0812481925241,2.186229089301865
75.64633275546291,302.1652435487353,2.0913195528288866
72.20809018385464,285.84559345272385,1.9970471669811047
68.92612104349699,270.13430478952944,1.904142027976739
65.79332246575679,254.87141974752103,1.8120080554075695
62.80291441834253,240.17462815770202,1.722075943501478
59.94842503189409,226.10010377572726,1.6344585767334394
57.22367659350217,212.44659334478203,1.548330670792636
54.62277217684343,199.33183542057816,1.4648380344509717
52.14008287999685,186.81661050490075,1.3844439293827417
49.770235643321115,174.80778636173645,1.3063114675888177
47.508101621027954,163.37758937740557,1.2316699751466693
45.34878508128582,152.40747334485462,1.1594492448105467
43.28761281083057,142.0674958985543,1.0909490461171578
41.32012400115337,132.18667698907726,1.0249935039558888
39.442060594376564,122.87089643848222,0.9622921211165177
37.64935806792467,114.10770388834464,0.9030109136602485
35.938136638046274,105.78565041744156,0.8462923331355748
34.30469286314917,98.078963839148,0.7930504247443755
32.74549162877728,90.75727859304172,0.7421771821399017
31.25715849688235,83.96915970197641,0.6940430091811262
29.836472402833387,77.67674093582063,0.6490019699452955
28.48035868435802,71.81761354953542,0.6064832856533329
27.1858824273294,66.39697680944505,0.5662358817177274
25.95024211399736,61.403480716501946,0.5283126219610157
24.770763559917114,56.81900590862136,0.49308727574588923
23.644894126454073,52.553777494143596,0.45950837804427086
22.57019719633919,48.65568307443568,0.4282868861863433
21.544346900318832,45.018077371687326,0.3985968935478514
20.565123083486515,41.67591030999363,0.37110689787293805
19.630406500402703,38.58247746820169,0.34520278132204696
18.73817422860384,35.695547275320074,0.3209559605119656
17.886495290574352,33.07755226575641,0.29854470083285617
17.073526474706906,30.601971580649465,0.2770700389206161
16.297508346206435,28.312082925283907,0.25725619398105987
15.556761439304715,26.178200258646743,0.2387090235057999
14.84968262254465,24.220566814210635,0.22155287552019706
14.174741629268048,22.39984939379138,0.20556078263880784
13.530477745798068,20.64432367419029,0.19022326893775235
12.91549665014884,19.12473491427961,0.1766233246706228
12.32846739442066,17.682471591681068,0.16391466843122499
11.768119524349979,16.228092444587915,0.15095704495306675
11.233240329780271,14.977627342464947,0.13973155401420181
10.722672220103231,13.766653365655175,0.1289872377887814
10.235310218990259,12.684062002157004,0.1191680211052064
9.770099572992251,11.669534036580096,0.11012118115781215
9.326033468832195,10.745569837058667,0.10158944282475438
8.902150854450383,9.859476449224983,0.09348363744478631
8.497534359086442,9.054929821044752,0.0862100533742324
8.111308307896868,8.302223125618909,0.07945207288230623
7.742636826811269,7.6350144463946545,0.07322466596615555
7.390722033525775,6.99789607331006,0.06737081818758486
7.0548023107186415,6.402458041430776,0.06198077646048214
6.7341506577508214,5.916178256083228,0.05751260150718794
6.4280731172843195,5.3698302509645455,0.05252838375176705
6.1359072734131725,4.934398751018419,0.048385946633244234
5.8570208180566645,4.510746093739795,0.044568990168867076
5.5908101825122225,4.121027372529202,0.04102400780385542
5.336699231206307,3.765527826730267,0.03772031623312473
5.0941380148163775,3.439863068162496,0.03486175755381301
4.862601580065354,3.1933898954324342,0.032586694643861935
4.6415888336127775,2.9232531877616035,0.03015841126534265
4.43062145758388,2.6462737323508407,0.02737173406193011
4.229242874389497,2.395929612684629,0.024981901782390237
4.037017258596554,2.235995504684461,0.023721507819733208
3.8535285937105273,2.01041387988901,0.0213547565548331
3.678379771828632,1.8563242704019078,0.019909707521728746
3.511191734215131,1.6595887083830057,0.018154600959064005
3.351602650938841,1.6441764029001125,0.01800635192046384
3.1992671377973827,1.4928157938716917,0.016575833966713267
3.053855508833414,1.3001745989598983,0.01453497203883116
2.9150530628251756,1.1597856749572684,0.013177739768794624
2.7825594022071245,1.0493650122338247,0.011997938029947749
2.656087782946685,0.9614101259025642,0.011017176659373072
2.5353644939701114,0.917646343944408,0.010683514449280873
2.420128264794381,0.813738894999834,0.009466842746640005
2.3101297000831593,0.8135349907819377,0.009568577500652011
2.2051307399030446,0.6993479660771539,0.008163720138927945
2.1049041445120196,0.6299869653835616,0.007383437282135846
2.009233002565047,0.6196086827403217,0.007379370301005635
1.9179102616724877,0.5337315956303733,0.006417571686813812
1.8307382802953678,0.4763640838878436,0.005671385633490799
1.747528400007683,0.43637865375961876,0.005203227156448861
1.6681005372000584,0.3959577741199351,0.004814534858664873
1.5922827933410915,0.3626777796074021,0.004436544631651252
1.5199110829529332,0.33741354247642646,0.00407193598749488
1.4508287784959395,0.3780426835965159,0.004443551746877236
1.3848863713938724,0.280307975044947,0.003639116686789552
1.3219411484660286,0.3044193800927433,0.003392992803128418
1.2618568830660197,0.23394502893376218,0.003219221695450042
1.2045035402587818,0.27527720690036656,0.0041726343725933005
1.1497569953977356,0.37945970146675345,0.003690065470540863
1.0974987654930557,0.3062739127365651,0.005101309450920521
1.0476157527896646,0.3205692718633907,0.00731710955367418
1.0,0.48349963326508955,0.0034877732866110864
