distance,shape,scale,freq,model,comp,m0_default
0.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
5.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
10.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
15.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
20.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
25.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
30.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
35.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
40.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
45.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
50.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
55.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
60.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
65.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
70.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
75.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
80.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
85.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
90.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
95.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
100.0,0.6173089131490752,4.4305809818282626e-05,0.01,Cold100,v,6.0
105.0,0.6153584042259743,4.2135096279092875e-05,0.01,Cold100,v,6.0
110.0,0.6062865794739826,4.030015745416346e-05,0.01,Cold100,v,6.0
115.0,0.5972147547219909,3.846521862923405e-05,0.01,Cold100,v,6.0
120.0,0.5881429299699992,3.663027980430465e-05,0.01,Cold100,v,6.0
125.0,0.5790711052180074,3.4795340979375237e-05,0.01,Cold100,v,6.0
130.0,0.5699992804660157,3.296040215444583e-05,0.01,Cold100,v,6.0
135.0,0.560927455714024,3.112546332951642e-05,0.01,Cold100,v,6.0
140.0,0.5518556309620323,2.9290524504587013e-05,0.01,Cold100,v,6.0
145.0,0.5427838062100405,2.7455585679657605e-05,0.01,Cold100,v,6.0
150.0,0.5337119814580489,2.5620646854728197e-05,0.01,Cold100,v,6.0
155.0,0.5246401567060571,2.378570802979879e-05,0.01,Cold100,v,6.0
160.0,0.5243533201802069,2.3617555227351984e-05,0.01,Cold100,v,6.0
165.0,0.5240664836543566,2.3449402424905182e-05,0.01,Cold100,v,6.0
170.0,0.5237796471285063,2.3281249622458378e-05,0.01,Cold100,v,6.0
175.0,0.5234928106026561,2.3113096820011576e-05,0.01,Cold100,v,6.0
180.0,0.5232059740768058,2.294494401756477e-05,0.01,Cold100,v,6.0
185.0,0.5229191375509555,2.277679121511797e-05,0.01,Cold100,v,6.0
190.0,0.5226323010251053,2.2608638412671165e-05,0.01,Cold100,v,6.0
195.0,0.522345464499255,2.2440485610224364e-05,0.01,Cold100,v,6.0
200.0,0.5220586279734047,2.2272332807777562e-05,0.01,Cold100,v,6.0
205.0,0.5217717914475545,2.2104180005330757e-05,0.01,Cold100,v,6.0
210.0,0.521804839649844,2.170048761673229e-05,0.01,Cold100,v,6.0
215.0,0.5218378878521335,2.1296795228133822e-05,0.01,Cold100,v,6.0
220.0,0.521870936054423,2.0893102839535358e-05,0.01,Cold100,v,6.0
225.0,0.5219039842567125,2.0489410450936893e-05,0.01,Cold100,v,6.0
230.0,0.521937032459002,2.0085718062338426e-05,0.01,Cold100,v,6.0
235.0,0.5219700806612916,1.9682025673739958e-05,0.01,Cold100,v,6.0
240.0,0.522003128863581,1.9278333285141494e-05,0.01,Cold100,v,6.0
245.0,0.5220361770658706,1.8874640896543026e-05,0.01,Cold100,v,6.0
250.0,0.52206922526816,1.847094850794456e-05,0.01,Cold100,v,6.0
255.0,0.5221022734704496,1.8067256119346094e-05,0.01,Cold100,v,6.0
260.0,0.5268265226375338,1.7901689352839253e-05,0.01,Cold100,v,6.0
265.0,0.5315507718046181,1.7736122586332416e-05,0.01,Cold100,v,6.0
270.0,0.5362750209717023,1.7570555819825576e-05,0.01,Cold100,v,6.0
275.0,0.5409992701387866,1.7404989053318735e-05,0.01,Cold100,v,6.0
280.0,0.5457235193058707,1.7239422286811898e-05,0.01,Cold100,v,6.0
285.0,0.550447768472955,1.7073855520305058e-05,0.01,Cold100,v,6.0
290.0,0.5551720176400392,1.6908288753798217e-05,0.01,Cold100,v,6.0
295.0,0.5598962668071235,1.674272198729138e-05,0.01,Cold100,v,6.0
300.0,0.5646205159742077,1.657715522078454e-05,0.01,Cold100,v,6.0
305.0,0.569344765141292,1.6411588454277703e-05,0.01,Cold100,v,6.0
310.0,0.5740469581168567,1.6397347740294383e-05,0.01,Cold100,v,6.0
315.0,0.5787491510924214,1.638310702631107e-05,0.01,Cold100,v,6.0
320.0,0.5834513440679863,1.6368866312327755e-05,0.01,Cold100,v,6.0
325.0,0.588153537043551,1.635462559834444e-05,0.01,Cold100,v,6.0
330.0,0.5928557300191157,1.6340384884361123e-05,0.01,Cold100,v,6.0
335.0,0.5975579229946805,1.632614417037781e-05,0.01,Cold100,v,6.0
340.0,0.6022601159702452,1.631190345639449e-05,0.01,Cold100,v,6.0
345.0,0.60696230894581,1.6297662742411176e-05,0.01,Cold100,v,6.0
350.0,0.6116645019213748,1.6283422028427863e-05,0.01,Cold100,v,6.0
355.0,0.6163666948969395,1.6269181314444547e-05,0.01,Cold100,v,6.0
360.0,0.620287846241767,1.6220371178373204e-05,0.01,Cold100,v,6.0
365.0,0.6242089975865945,1.6171561042301858e-05,0.01,Cold100,v,6.0
370.0,0.628130148931422,1.6122750906230512e-05,0.01,Cold100,v,6.0
375.0,0.6320513002762496,1.6073940770159166e-05,0.01,Cold100,v,6.0
380.0,0.6359724516210771,1.6025130634087823e-05,0.01,Cold100,v,6.0
385.0,0.6398936029659046,1.597632049801648e-05,0.01,Cold100,v,6.0
390.0,0.6438147543107321,1.5927510361945134e-05,0.01,Cold100,v,6.0
395.0,0.6477359056555596,1.587870022587379e-05,0.01,Cold100,v,6.0
400.0,0.6516570570003871,1.582989008980244e-05,0.01,Cold100,v,6.0
405.0,0.6555782083452146,1.57810799537311e-05,0.01,Cold100,v,6.0
410.0,0.6556216458026036,1.5589827207346857e-05,0.01,Cold100,v,6.0
415.0,0.6556650832599926,1.5398574460962612e-05,0.01,Cold100,v,6.0
420.0,0.6557085207173817,1.5207321714578373e-05,0.01,Cold100,v,6.0
425.0,0.6557519581747707,1.501606896819413e-05,0.01,Cold100,v,6.0
430.0,0.6557953956321597,1.4824816221809887e-05,0.01,Cold100,v,6.0
435.0,0.6558388330895487,1.4633563475425643e-05,0.01,Cold100,v,6.0
440.0,0.6558822705469377,1.4442310729041401e-05,0.01,Cold100,v,6.0
445.0,0.6559257080043268,1.4251057982657158e-05,0.01,Cold100,v,6.0
450.0,0.6559691454617158,1.4059805236272916e-05,0.01,Cold100,v,6.0
455.0,0.6560125829191048,1.3868552489888673e-05,0.01,Cold100,v,6.0
460.0,0.6543789764370954,1.3761641541036982e-05,0.01,Cold100,v,6.0
465.0,0.652745369955086,1.3654730592185291e-05,0.01,Cold100,v,6.0
470.0,0.6511117634730765,1.35478196433336e-05,0.01,Cold100,v,6.0
475.0,0.6494781569910671,1.3440908694481907e-05,0.01,Cold100,v,6.0
480.0,0.6478445505090578,1.3333997745630217e-05,0.01,Cold100,v,6.0
485.0,0.6462109440270484,1.3227086796778527e-05,0.01,Cold100,v,6.0
490.0,0.644577337545039,1.3120175847926835e-05,0.01,Cold100,v,6.0
495.0,0.6429437310630295,1.3013264899075144e-05,0.01,Cold100,v,6.0
500.0,0.6413101245810201,1.2906353950223455e-05,0.01,Cold100,v,6.0
505.0,0.6396765180990107,1.2799443001371762e-05,0.01,Cold100,v,6.0
510.0,0.6394096972091379,1.277186631742274e-05,0.01,Cold100,v,6.0
515.0,0.6391428763192649,1.2744289633473721e-05,0.01,Cold100,v,6.0
520.0,0.638876055429392,1.2716712949524699e-05,0.01,Cold100,v,6.0
525.0,0.6386092345395191,1.2689136265575678e-05,0.01,Cold100,v,6.0
530.0,0.6383424136496463,1.2661559581626656e-05,0.01,Cold100,v,6.0
535.0,0.6380755927597733,1.2633982897677635e-05,0.01,Cold100,v,6.0
540.0,0.6378087718699004,1.2606406213728615e-05,0.01,Cold100,v,6.0
545.0,0.6375419509800275,1.2578829529779593e-05,0.01,Cold100,v,6.0
550.0,0.6372751300901547,1.2551252845830572e-05,0.01,Cold100,v,6.0
555.0,0.6370083092002817,1.2523676161881552e-05,0.01,Cold100,v,6.0
560.0,0.6387085984157804,1.2490831684083855e-05,0.01,Cold100,v,6.0
565.0,0.6404088876312791,1.245798720628616e-05,0.01,Cold100,v,6.0
570.0,0.6421091768467777,1.2425142728488464e-05,0.01,Cold100,v,6.0
575.0,0.6438094660622764,1.2392298250690769e-05,0.01,Cold100,v,6.0
580.0,0.6455097552777751,1.2359453772893074e-05,0.01,Cold100,v,6.0
585.0,0.6472100444932738,1.2326609295095377e-05,0.01,Cold100,v,6.0
590.0,0.6489103337087725,1.2293764817297682e-05,0.01,Cold100,v,6.0
