dist,median_rw,median_q0.25_rw,median_q0.75_rw,median_body,median_q0.25_body,median_q0.75_body
0.1,5.1684784223826355e-20,3.002084464900267e-20,1.2358266977651003e-19,3.289998843358303e-20,1.604740642282464e-20,7.485412392046312e-20
1.0040201005025127,5.1626768455209216e-20,2.9987146473582887e-20,1.2344394917720778e-19,3.286305845233315e-20,1.6029393336991238e-20,7.477010077064171e-20
1.9080402010050252,3.8580472487430184e-20,2.240926927605859e-20,9.22491544091148e-20,2.455842891876731e-20,1.1978700660204599e-20,5.587539495455021e-20
2.812060301507538,2.5534175276027927e-20,1.483139537550247e-20,6.105436313273316e-20,2.298952697838665e-20,1.2938509546534882e-20,5.445344067980035e-20
3.7160804020100504,1.2487878087988632e-20,7.253519909608462e-21,2.9859567047262004e-20,1.2487878087988632e-20,7.253519909608462e-21,2.9859567047262004e-20
4.620100502512562,5.1584588593554605e-21,3.4075366626774095e-21,1.0265753420786461e-20,3.469308088989555e-21,2.095751247528553e-21,7.93522994979875e-21
5.524120603015075,2.769371472702927e-21,2.1865833790389323e-21,3.7147490736755296e-21,1.4730782964172585e-21,1.1798890612545163e-21,1.926251726005055e-21
6.428140703517588,2.063923177284683e-21,1.6298252219048105e-21,2.76754950254326e-21,2.063923177284683e-21,1.6298252219048105e-21,2.76754950254326e-21
7.3321608040201,1.3853284079248043e-21,1.1301270849834112e-21,1.895020102369415e-21,1.3584746855550337e-21,1.0730670501087119e-21,1.820349554114545e-21
8.236180904522612,9.816085860111603e-22,8.889253459580502e-22,1.4383648281055244e-21,7.252249699200085e-22,5.820789880105595e-22,9.489299691604011e-22
9.140201005025125,1.1545645769705704e-21,1.0390807976406053e-21,1.6918504460592492e-21,3.5429872502085957e-22,3.1697847788713487e-22,3.847245644020509e-22
10.044221105527638,9.452528017080272e-22,8.509696539362332e-22,1.3854713011057474e-21,2.9920086732791253e-22,2.6867671997246897e-22,3.2587699773199267e-22
10.94824120603015,7.022189632371326e-22,6.325297931372426e-22,1.0297031968091731e-21,2.230558093093587e-22,2.078801751430564e-22,2.486236927406404e-22
11.852261306532663,4.851189837895365e-22,4.2245104084600426e-22,7.383255869664239e-22,2.4247437130159973e-22,2.1759505566890064e-22,4.96619430975882e-22
12.756281407035177,5.319000977512922e-22,4.241556130582468e-22,8.639560330214193e-22,2.447713195284757e-22,2.0812704560180595e-22,3.4001220864283954e-22
13.660301507537689,5.711459020723432e-22,4.443020119682041e-22,9.38948292799655e-22,2.374476958306599e-22,2.0747851821131547e-22,2.6433105230404796e-22
14.564321608040201,4.988817029559371e-22,3.843224167234548e-22,8.155943691448867e-22,2.0138238795608317e-22,1.8002841044811612e-22,2.2252339916416905e-22
15.468341708542713,3.7245928864656735e-22,2.840639659460285e-22,6.020250379334633e-22,1.491582398254506e-22,1.3346681788230976e-22,1.6470721022292267e-22
16.372361809045227,2.872738397663764e-22,2.310758025609222e-22,4.931758583120719e-22,1.07368823608019e-22,9.280312650318377e-23,1.2490548389385848e-22
17.27638190954774,2.907435011448245e-22,2.576755320813371e-22,5.633597572577065e-22,1.0981910554538867e-22,9.303302636763085e-23,1.339355777368641e-22
18.18040201005025,3.3544356029270257e-22,2.969910154822481e-22,6.497712758388185e-22,1.5924888819221022e-22,1.468879489079536e-22,1.7657752743386726e-22
19.084422110552765,2.746628915142358e-22,2.4163082293796023e-22,5.310226947183057e-22,1.2944355353286903e-22,1.1964025700293076e-22,1.4312561326300974e-22
19.98844221105528,2.0660023915240661e-22,1.7999143990986034e-22,3.985508598861172e-22,9.564180951497984e-23,8.84146918122636e-23,1.0577819620264208e-22
20.89246231155779,1.7445779100296292e-22,1.3857121052206713e-22,3.909385100262474e-22,6.299018637491238e-23,5.833655579630234e-23,7.592811954073095e-23
21.796482412060303,2.1686922320208207e-22,1.6984192517855552e-22,4.958003376997069e-22,9.877358373811256e-23,8.902434417604063e-23,1.1298006773268672e-22
22.700502512562817,2.3235878028228067e-22,1.8147435058508033e-22,5.324409753019638e-22,1.1157331531161328e-22,1.0241700311155878e-22,1.2605380512718446e-22
23.604522613065328,1.9794726395439655e-22,1.5592748426780215e-22,4.5797895164741315e-22,9.583374853758072e-23,8.876787261271805e-23,1.081709797470737e-22
24.50854271356784,1.4468348774712917e-22,1.1727649093420713e-22,3.4044748247228144e-22,7.059288602828852e-23,6.53915129401621e-23,7.970102499153599e-23
25.412562814070355,1.1973786927013434e-22,1.0050534391123194e-22,2.8565162479295487e-22,5.395808315170373e-23,4.807469982487765e-23,6.410962216203988e-23
26.316582914572866,1.3658664878852264e-22,1.156025806009821e-22,3.259973983715946e-22,5.386643630308959e-23,4.614216838453868e-23,6.951108272914219e-23
27.22060301507538,1.5391198466907706e-22,1.3029094517779915e-22,3.6825095433349805e-22,5.976621512139498e-23,5.356570351773361e-23,7.779550255693149e-23
28.12462311557789,1.2331906575767656e-22,1.0437065110203319e-22,2.9826426826872853e-22,4.792245554921539e-23,4.2914920135117026e-23,6.23481718678396e-23
29.028643216080404,9.286185492158046e-23,7.742413613530733e-23,2.240232709345918e-22,3.548513038606446e-23,3.174047192255994e-23,4.605335177010312e-23
29.932663316582918,8.56706468673075e-23,6.068280534943862e-23,1.7851389393066388e-22,3.152655621743853e-23,2.703173131800343e-23,3.7423338842674016e-23
30.83668341708543,1.0904802738252259e-22,7.628178948188847e-23,2.2449880761627533e-22,4.547937848838546e-23,4.04177892160767e-23,5.176507262009553e-23
31.740703517587942,1.1370695403664235e-22,8.127322112654871e-23,2.363217686113193e-22,4.958432467031366e-23,4.3919111998137354e-23,5.514308141597241e-23
32.64472361809045,9.283742744340578e-23,7.002811109603298e-23,1.9809049438160245e-22,4.202761934943305e-23,3.712033526231144e-23,4.643776701823544e-23
33.548743718592966,6.807191361845516e-23,5.257611363338263e-23,1.454189272378887e-22,3.0781902342744155e-23,2.718472185528098e-23,3.400892238734981e-23
34.45276381909548,6.55219444563857e-23,4.6967917612282624e-23,1.4208242625202938e-22,2.3472863120845455e-23,2.0719888054069103e-23,2.6997966994032714e-23
35.356783919597994,8.32713215281191e-23,5.621454515810039e-23,1.8662080518819673e-22,2.4392385928378206e-23,2.1669771250707702e-23,2.875593069464241e-23
36.2608040201005,9.220427998241225e-23,6.194976844787728e-23,2.0597681503884079e-22,2.8178040825915224e-23,2.5177418015563755e-23,3.1907132062875955e-23
37.164824120603015,7.524353392293643e-23,4.944969476893357e-23,1.6286091905064775e-22,2.265496332674473e-23,1.9985717348001004e-23,2.561148942715117e-23
38.06884422110553,5.819250442289678e-23,3.685075123537378e-23,1.2264603392629376e-22,1.7001573354967475e-23,1.4740204018104765e-23,1.911322926505848e-23
38.97286432160804,4.827939878746752e-23,2.885043532278082e-23,1.374881958424039e-22,1.4803006314832794e-23,1.1274554900169575e-23,1.769105965232137e-23
39.87688442211056,6.342113825138394e-23,3.603948656155381e-23,1.7775431200783105e-22,1.9467964670609583e-23,1.3999255482618442e-23,2.3112573839264015e-23
40.78090452261307,6.602695983836751e-23,3.763369072655152e-23,1.8497857110460857e-22,2.0369288626315607e-23,1.501362042228873e-23,2.408263137232774e-23
41.68492462311558,5.44728801341041e-23,3.264565031829957e-23,1.554892241254314e-22,1.6941249467847193e-23,1.2591134488579117e-23,2.0013440230434222e-23
42.58894472361809,4.2654929083343235e-23,2.6266792489718208e-23,1.1596187468014458e-22,1.3253062605925212e-23,9.823647368598121e-24,1.5402366992973482e-23
43.492964824120605,4.4008068504807466e-23,2.4358949570546678e-23,1.1136372034093578e-22,1.411180494977783e-23,1.0402570705047888e-23,1.6265793987311757e-23
44.39698492462312,5.586634840416745e-23,2.8464994343469023e-23,1.3928535659536898e-22,1.8409061893868632e-23,1.351050416033027e-23,2.1321648040566596e-23
45.30100502512563,6.05354975785283e-23,3.1457324045863165e-23,1.502627017664036e-22,1.982426939268113e-23,1.458801690512437e-23,2.305680317100385e-23
46.20502512562814,4.7888564239294713e-23,2.6622622976138454e-23,1.185285949751749e-22,1.5405539874582713e-23,1.1527739706790058e-23,1.8131690643934833e-23
47.109045226130654,3.701876648243906e-23,2.4617486861610544e-23,8.891772198316115e-23,1.1845902723608616e-23,8.969050871800949e-24,1.4049015639582955e-23
48.01306532663317,3.994995486654122e-23,2.539924129004461e-23,7.734403148630729e-23,1.2317969728880116e-23,9.784730970333626e-24,1.6347454268457148e-23
48.91708542713568,4.467802173080937e-23,2.8800271898076863e-23,1.0249666952047814e-22,1.607372989582998e-23,1.2785406779816231e-23,2.1784130361463898e-23
49.821105527638196,4.295607794435698e-23,2.783864332060764e-23,1.049844591834153e-22,1.6627757413959978e-23,1.3080636198017074e-23,2.2478598129710334e-23
50.72512562814071,3.495133582355728e-23,2.3358935653624754e-23,8.539502539752293e-23,1.3632730104986018e-23,1.0707333785068187e-23,1.8419232981324883e-23
51.629145728643216,2.827891292615314e-23,2.1319026488025834e-23,6.255138340378796e-23,1.0448914174226254e-23,8.34117751334381e-24,1.3970247450250742e-23
52.53316582914573,2.7486168481951934e-23,2.1376036531524842e-23,6.372364453132227e-23,1.1118271135166606e-23,9.144314418434751e-24,1.5057188718966148e-23
53.437185929648244,3.0666030048677114e-23,2.369591291449043e-23,8.090886553545061e-23,1.4537371545248776e-23,1.1895925217623332e-23,1.9949860403297123e-23
54.34120603015076,3.045072134783832e-23,2.4371884141093213e-23,8.439545328854324e-23,1.5552809302967332e-23,1.2527067482190093e-23,2.1341334848428164e-23
55.24522613065327,2.4419338955543125e-23,1.966520188363454e-23,6.563353844377185e-23,1.2155947231591967e-23,9.791280037425794e-24,1.6680738029053967e-23
56.14924623115578,2.2033093511543412e-23,1.6635558796214465e-23,5.0311546112475214e-23,9.48426346275251e-24,7.653344108395348e-24,1.2780097434475982e-23
57.05326633165829,2.403308286356795e-23,1.6070310943365768e-23,5.312050290514094e-23,1.0602167720541662e-23,8.636038982676537e-24,1.2951030332965996e-23
57.95728643216081,2.618844388876455e-23,1.87800341546234e-23,6.766031452124669e-23,1.367167263415242e-23,1.1170291448377385e-23,1.6768360088596566e-23
58.86130653266332,2.5273288241870138e-23,1.9119769222357253e-23,6.737474189851351e-23,1.3681944013227134e-23,1.119013891315897e-23,1.6803388976007595e-23
59.765326633165834,2.1271117416963554e-23,1.6411966211731075e-23,5.417948095831943e-23,1.1028285044210534e-23,9.020484704404276e-24,1.3544849385532996e-23
60.66934673366834,1.9150007166756075e-23,1.6403818865836516e-23,3.8777943373710057e-23,8.601686412418029e-24,7.017147635059877e-24,1.0594304876697415e-23
61.573366834170855,1.9619071230160492e-23,1.756117896774817e-23,4.221424144884206e-23,9.530344453214522e-24,7.804285817230838e-24,1.1393527159534475e-23
62.47738693467337,2.1817904824552352e-23,1.868289445457822e-23,5.661561565776324e-23,1.223637747572927e-23,1.0052205861186739e-23,1.4359483523025382e-23
63.38140703517588,2.158287188853132e-23,1.8005117062308096e-23,5.984979726628233e-23,1.2611147316469092e-23,1.0363479743646442e-23,1.4784259806991748e-23
64.28542713567839,1.796394922523549e-23,1.551356670714257e-23,4.765808488025854e-23,9.815566474182045e-24,8.069075413402836e-24,1.1506177972688031e-23
65.1894472361809,1.6773412165223133e-23,1.4337589626323038e-23,3.742204962333589e-23,7.807218702115448e-24,6.5636285231468975e-24,9.048858508967706e-24
66.09346733668342,1.796849398233915e-23,1.3554465671576385e-23,3.5729067593426447e-23,8.932928204169826e-24,8.121275001277933e-24,9.922884905448483e-24
66.99748743718592,1.979108501428737e-23,1.4623489392630135e-23,4.4151717935829895e-23,1.1486984553621233e-23,1.0435430463460454e-23,1.283935534949216e-23
67.90150753768843,1.852820999955756e-23,1.4992246687505415e-23,4.3092107368758124e-23,1.1295554758086073e-23,1.0247441823962083e-23,1.2644172485364385e-23
68.80552763819095,1.5060357446791608e-23,1.3573858892282538e-23,3.4687788781378807e-23,8.977546009050753e-24,8.142235832718084e-24,1.005205756710325e-23
69.70954773869346,1.3933672358604786e-23,1.229930142099838e-23,2.606225936906253e-23,6.793357205718329e-24,6.3270977814835306e-24,7.793392661911919e-24
70.61356783919598,1.5211473744598954e-23,1.2363579208186491e-23,2.77377339383838e-23,7.581898379723994e-24,7.184332798561422e-24,8.669904854741606e-24
71.51758793969849,1.71332803967437e-23,1.3712397685519045e-23,3.382672990692207e-23,9.708578322177588e-24,9.189887547784513e-24,1.0978696721009282e-23
72.421608040201,1.650000615222559e-23,1.3932737713115586e-23,3.327772382612151e-23,9.808834195087668e-24,9.269723723125214e-24,1.1063194255926723e-23
73.32562814070351,1.3845837648165913e-23,1.256332852006246e-23,2.5505541798039145e-23,7.605898489537401e-24,7.18780084043446e-24,8.577587914895131e-24
74.22964824120602,1.3134666851524071e-23,1.1731621112236732e-23,2.1105063377178735e-23,6.1281121728844025e-24,5.792956470723791e-24,6.828906834921439e-24
75.13366834170854,1.4208046729250684e-23,1.1230524667105325e-23,2.650133263559645e-23,6.972163566489039e-24,6.6089293102794784e-24,7.509184999014795e-24
76.03768844221105,1.5703571041340098e-23,1.2402398950548024e-23,3.2527807842849884e-23,8.836089236038624e-24,8.450442357673914e-24,9.615785223433441e-24
76.94170854271357,1.4489715649547104e-23,1.1810894614248854e-23,3.131244902018916e-23,8.654258046141381e-24,8.273861851485198e-24,9.409525111752023e-24
77.84572864321608,1.1596352092384048e-23,1.047845065438654e-23,2.439195968489628e-23,6.786747161087792e-24,6.488266898294321e-24,7.38118768214633e-24
78.74974874371858,1.1361184959726187e-23,9.874945476107241e-24,1.978743198730184e-23,5.762140419749823e-24,5.449930659199528e-24,6.299686994009219e-24
79.6537688442211,1.2067939919105551e-23,1.0004927766416157e-23,2.2846496838340357e-23,6.937452654328863e-24,6.5708619051960726e-24,7.628177419330037e-24
80.55778894472361,1.3680227624307897e-23,1.1509351612725214e-23,2.953597621542139e-23,8.757442551375868e-24,8.291702615803138e-24,9.626516012335988e-24
81.46180904522613,1.3327489099975335e-23,1.1746736571213699e-23,2.96932770227072e-23,8.608597565954439e-24,8.13774177423376e-24,9.452977299706412e-24
82.36582914572864,1.1185733926929673e-23,1.0253329007163254e-23,2.3054540947710724e-23,6.646908394875426e-24,6.283064526785127e-24,7.299697230685254e-24
83.26984924623115,1.0401339147590264e-23,9.092846584473049e-24,1.8464521884746063e-23,5.623543767373094e-24,5.311950707176377e-24,6.1432385388073205e-24
84.17386934673367,1.0969963201358283e-23,8.750426581698148e-24,1.9728982655081474e-23,6.933525062657629e-24,6.5329061578023476e-24,7.475456601579976e-24
85.07788944723617,1.1674882802026335e-23,1.0834223747641239e-23,2.4840590207266347e-23,8.598213233161645e-24,8.06810096187527e-24,9.226918382423558e-24
