distance,SNR,period
0.0,0.010238299196060147,1.0
63.524832156223134,0.010238299196060147,1.0
127.04966431244627,0.008748992187805687,1.0
190.57449646866942,0.00630631955413584,1.0
254.09932862489254,0.00471433449457351,1.0
317.6241607811157,0.004362551462373773,1.0
381.14899293733885,0.0040055422941104426,1.0
444.67382509356196,0.0032988079756872796,1.0
508.1986572497851,0.0032936148748423117,1.0
571.7234894060083,0.0028307483962706406,1.0
635.2483215622314,0.002539116990658252,1.0
698.7731537184545,0.0025584134480727406,1.0
762.2979858746777,0.0022356022630275426,1.0
825.8228180309007,0.002181847939662592,1.0
889.3476501871239,0.0020387069822970804,1.0
952.8724823433471,0.0017497357184825676,1.0
1016.3973144995701,0.001832244661180382,1.0
1079.9221466557933,0.0017109032422110923,1.0
1143.4469788120166,0.0015472465239491106,1.0
1206.9718109682397,0.0016288001153726293,1.0
1270.4966431244627,0.0014392329733370146,1.0
1334.0214752806858,0.0014159632795549212,1.0
1397.546307436909,0.0013854376896803209,1.0
1461.071139593132,0.001237118701673966,1.0
1524.5959717493554,0.0012886847583234657,1.0
1588.1208039055784,0.001239051696841931,1.0
1651.6456360618015,0.0011506376342829189,1.0
1715.1704682180246,0.0011719047191708994,1.0
1778.6953003742478,0.0010302327933386572,1.0
1842.220132530471,0.001023430131873716,1.0
1905.7449646866942,0.0010474230902985941,1.0
1969.269796842917,0.0009281663955719318,1.0
2032.7946289991403,0.0009613903083279592,1.0
2096.3194611553636,0.0009131916797853604,1.0
2159.8442933115866,0.0008457262467143407,1.0
2223.3691254678097,0.0009134323128672788,1.0
2286.893957624033,0.0008451611377100802,1.0
2350.418789780256,0.0008280466005881048,1.0
2413.9436219364793,0.0008520670376540078,1.0
2477.4684540927024,0.0007654144302310991,1.0
2540.9932862489254,0.0007815856881731249,1.0
2604.5181184051485,0.0007527667086644275,1.0
2668.0429505613715,0.0007027451310328079,1.0
2731.567782717595,0.0007360671566933771,1.0
2795.092614873818,0.0006819217668315804,1.0
2858.6174470300407,0.0006590377266957017,1.0
2922.142279186264,0.0006797478877129138,1.0
2985.6671113424873,0.0006244643138624616,1.0
3049.1919434987108,0.0006513391704026302,1.0
3112.716775654934,0.0006568958565019488,1.0
3176.241607811157,0.0006136610252314325,1.0
3239.76643996738,0.00062447297857004,1.0
3303.291272123603,0.0005879100588180339,1.0
3366.8161042798265,0.0005579167565070157,1.0
3430.340936436049,0.0005628903299946143,1.0
3493.8657685922726,0.0005296809022984288,1.0
3557.3906007484957,0.0005377252569138413,1.0
3620.9154329047187,0.0005232670527460395,1.0
3684.440265060942,0.0004752028542589781,1.0
3747.965097217165,0.0004884127737709413,1.0
3811.4899293733883,0.0004671315625572299,1.0
3875.0147615296114,0.0004581655025768192,1.0
3938.539593685834,0.0004742035026127349,1.0
4002.0644258420575,0.0004469107023880237,1.0
4065.5892579982806,0.0004484310236918929,1.0
4129.114090154504,0.00043355579957996644,1.0
4192.638922310727,0.00039861409789699914,1.0
4256.16375446695,0.00041868532845319966,1.0
4319.688586623173,0.0004091528145266832,1.0
4383.213418779396,0.0003985429497814896,1.0
4446.738250935619,0.00040229882404023166,1.0
4510.263083091843,0.0003717093745508088,1.0
4573.787915248066,0.0003692736890406759,1.0
4637.3127474042885,0.00036498226552870815,1.0
4700.837579560512,0.0003495690093702158,1.0
4764.362411716735,0.00036379423567454706,1.0
4827.887243872959,0.0003536143024747567,1.0
4891.412076029182,0.0003421221938772369,1.0
4954.936908185405,0.00034688002150228507,1.0
5018.461740341628,0.00032302476319171674,1.0
5081.986572497851,0.00032359006308692334,1.0
5145.511404654075,0.00032175225086775123,1.0
5209.036236810297,0.0003090304158495312,1.0
5272.56106896652,0.00031252188989111757,1.0
5336.085901122743,0.0003015536510063872,1.0
5399.610733278966,0.00029791393175348927,1.0
5463.13556543519,0.0002989277330170245,1.0
5526.660397591413,0.0002890176089052165,1.0
5590.185229747636,0.0002870531032308825,1.0
5653.710061903859,0.000281825836039835,1.0
5717.234894060081,0.00027903043641822544,1.0
5780.759726216305,0.0002748530050877509,1.0
5844.284558372528,0.0002680652032711578,1.0
5907.8093905287515,0.00026597185591266924,1.0
5971.3342226849745,0.00025586777273799166,1.0
6034.859054841198,0.000252572122593754,1.0
6098.3838869974215,0.0002517710071034965,1.0
6161.908719153645,0.0002442016276782269,1.0
6225.433551309868,0.00024623709382420595,1.0
6288.95838346609,0.00023763400064096316,1.0
6352.483215622314,0.00023108359025650213,1.0
6416.008047778537,0.00022987297725728228,1.0
6479.53287993476,0.00022240883311618094,1.0
6543.057712090983,0.0002242908452327536,1.0
6606.582544247206,0.00022131872428479265,1.0
6670.10737640343,0.00021269300421764473,1.0
6733.632208559653,0.00021439217950950087,1.0
6797.157040715875,0.0002053462947451217,1.0
6860.681872872098,0.00020155099138417245,1.0
6924.206705028321,0.00020465454683223105,1.0
6987.731537184545,0.00019685043501683388,1.0
7051.256369340768,0.00019692003787078605,1.0
7114.781201496991,0.0001940249881042205,1.0
7178.306033653214,0.00018559589206196356,1.0
7241.8308658094375,0.00018998128506404315,1.0
7305.355697965661,0.00018440508800001074,1.0
7368.880530121884,0.00018078249572971579,1.0
7432.405362278107,0.0001818201784113491,1.0
7495.93019443433,0.00017374360304492662,1.0
7559.455026590553,0.00017477099106791373,1.0
7622.979858746777,0.00017156316555960843,1.0
7686.504690903,0.000163303959193636,1.0
7750.029523059223,0.00016971493428933742,1.0
7813.554355215446,0.00016540976790513847,1.0
7877.079187371668,0.00016174466405573492,1.0
7940.604019527892,0.0001605551958036066,1.0
