time,lat,lon,vel,wind_dir,wind_strength,dt,bin_dt,id_map,lat_map,lon_map,proba,M0
875003.1161088729,33.39719778809547,-49.01443280133568,52.41844345606707,90.9784659885351,55.0776077657781,243.05642114135358,244,3668,33.636363636363626,-49.09090909090909,0.11446486106374187,5.6
875510.082931109,33.39277759450583,-48.72884119034284,51.86611646209271,90.83566061320673,55.0776077657781,243.1972452586414,244,3668,33.636363636363626,-49.09090909090909,0.11446486106374187,5.6
882135.2227595833,33.292726141460804,-45.03931136176838,51.86611646209271,90.83566061320673,55.0776077657781,245.03756187766203,246,3768,33.636363636363626,-45.45454545454547,0.11501403772450602,5.6
882432.0602405829,33.29059172576408,-44.87404144018927,52.32255530829481,91.00540215690324,55.0776077657781,245.12001673349525,246,3768,33.636363636363626,-45.45454545454547,0.11501403772450602,5.6
889320.1737155884,33.173472031510336,-41.00966459648937,52.32255530829481,91.00540215690324,55.0776077657781,247.03338158766346,248,3868,33.636363636363626,-41.81818181818181,0.11556018832180648,5.6
889357.4077707374,33.173162058467305,-40.98878032416231,53.42317499606327,91.3429867299274,55.0776077657781,247.0437243807604,248,3868,33.636363636363626,-41.81818181818181,0.11556018832180648,5.6
896402.9249751703,33.02840748403228,-36.959990604838815,53.1158571587092,91.26068561195744,55.0776077657781,249.00081249310287,250,3968,33.636363636363626,-38.18181818181819,0.11610362140484587,5.6
901629.802294822,32.93801506092832,-33.99159883677111,54.09977677677053,91.52957226167251,55.0776077657781,250.45272285967278,251,4068,33.636363636363626,-34.54545454545456,0.11664499009849127,5.6
908544.41562481,32.78416059463346,-29.998920695068698,54.12905558705416,91.53228137065156,55.0776077657781,252.37344878466945,253,4168,33.636363636363626,-30.909090909090907,0.11718519902626001,5.6
915412.1549437232,32.631868587104115,-26.037924964703432,54.12905558705416,91.53228137065156,55.0776077657781,254.28115415103423,255,4267,31.818181818181813,-27.27272727272728,0.11772572470067455,5.6
916491.908884162,32.61623272666106,-25.415421479881346,53.37583615675262,91.34637919810731,55.0776077657781,254.5810858011561,255,4367,31.818181818181813,-23.636363636363654,0.11772572470067455,5.6
922501.6605335457,32.501877006354924,-22.00236099716455,53.37583615675262,91.34637919810731,55.0776077657781,256.25046125931823,257,4367,31.818181818181813,-23.636363636363654,0.11826772877651326,5.6
923864.7160947172,32.48408226981997,-21.228531657653647,53.53794404326804,91.39835292850542,55.0776077657781,256.6290878040881,257,4467,31.818181818181813,-20.0,0.11826772877651326,5.6
929525.4911605044,32.37618735410104,-18.008503476715227,52.80008248667799,91.25583109031405,55.0776077657781,258.20152532236233,259,4567,31.818181818181813,-16.363636363636374,0.11881308097549348,5.6
934824.4544088368,32.28590653375164,-15.038674004611076,52.80008248667799,91.25583109031405,55.0776077657781,259.6734595580102,260,4567,31.818181818181813,-16.363636363636374,0.11935809587365043,5.6
936657.2469971424,32.26260551648502,-14.011854586164212,53.11303430160624,91.35875047664244,55.0776077657781,260.18256861031733,261,4667,31.818181818181813,-12.72727272727272,0.11990549181792332,5.6
941982.299784725,32.16653885735054,-11.013753369619607,53.43802305832056,91.61864506807365,55.0776077657781,261.6617499402014,262,4667,31.818181818181813,-12.72727272727272,0.12045254750775403,5.6
943856.8519009814,32.13657073653989,-9.952481266013558,53.177085892915386,91.5669727575872,55.0776077657781,262.18245886138374,263,4767,31.818181818181813,-9.090909090909093,0.12100190822094037,5.6
949210.6674892524,32.0304912938732,-6.939299894525972,53.92888640717143,91.73017861525663,55.0776077657781,263.6696298581257,264,4867,31.818181818181813,-5.4545454545454675,0.1215534281523275,5.6
956148.895164258,31.866967695224368,-2.9861600117679954,53.68830645330601,91.66643253971276,55.0776077657781,265.59691532340497,266,4967,31.818181818181813,-1.818181818181813,0.1221070389474781,5.6
963192.183637613,31.705226950253486,1.0021278049357067,53.57411936778896,91.62023460795947,55.0776077657781,267.5533843437814,268,5067,31.818181818181813,1.818181818181813,0.1226628742674668,5.6
966772.6856938156,31.640288193807617,3.0235920992954783,52.7999599176221,91.44367109854728,55.0776077657781,268.54796824828213,269,5067,31.818181818181813,1.818181818181813,0.12321835766197409,5.6
973890.6647317224,31.493597637358825,6.978922117706556,52.7999599176221,91.44367109854728,55.0776077657781,270.52518464770066,271,5167,31.818181818181813,5.454545454545439,0.12377639682571073,5.6
974375.9706225313,31.487491282731945,7.248521996090672,53.012419109623735,91.46883728326206,55.0776077657781,270.659991839592,271,5167,31.818181818181813,5.454545454545439,0.12377639682571073,5.6
981195.6962506772,31.3475241100308,11.047361754837894,54.34562644208272,91.68954681028896,55.0776077657781,272.55436006963254,273,5367,31.818181818181813,12.72727272727272,0.1243410693065824,5.6
988050.2909625015,31.18895712552607,14.954731722541348,54.34562644208272,91.68954681028896,55.0776077657781,274.45841415625046,275,5467,31.818181818181813,16.363636363636346,0.12490912519210584,5.6
988221.290403971,31.186448963263658,15.052184867326464,55.2063013064632,91.81186660381957,55.0776077657781,274.50591400110306,275,5467,31.818181818181813,16.363636363636346,0.12490912519210584,5.6
994963.2789382891,31.021290427548973,18.949109942853543,55.05674806808063,91.7726543546514,55.0776077657781,276.37868859396923,277,5567,31.818181818181813,20.0,0.12548033500374944,5.6
1000222.8017069516,30.90497766013919,21.977066601441663,55.05674806808063,91.7726543546514,55.0776077657781,277.83966714081987,278,5667,31.818181818181813,23.636363636363626,0.12605415785504315,5.6
1000945.2686022896,30.893211088174997,22.392896703569583,54.64986809684082,91.70404203541534,55.0776077657781,278.0403523895249,279,5666,30.0,23.636363636363626,0.1266287731040311,5.6
1007156.0525225004,30.753630484915647,25.93680018838868,54.64986809684082,91.70404203541534,55.0776077657781,279.765570145139,280,5766,30.0,27.272727272727252,0.12720637101178356,5.6
1008195.7114973448,30.7370352873748,26.52983697075542,54.93583896780316,91.74714216964736,55.0776077657781,280.05436430481797,281,5766,30.0,27.272727272727252,0.12778358692922898,5.6
1014192.3720379669,30.600992736689587,29.963943480106337,54.93583896780316,91.74714216964736,55.0776077657781,281.72010334387966,282,5866,30.0,30.909090909090907,0.12836273151435384,5.6
1015530.271354652,30.57852549408481,30.729828572991487,56.49946749356227,91.75383533799344,55.0776077657781,282.0917420429589,283,5866,30.0,30.909090909090907,0.12894149155219725,5.6
1021039.869898264,30.45225826705032,33.96980527060009,56.49946749356227,91.75383533799344,55.0776077657781,283.6221860828511,284,5966,30.0,34.54545454545453,0.12952065416809655,5.6
1022631.9746963026,30.42406848940427,34.90567250802409,54.01484582189974,91.65916767517038,55.0776077657781,284.0644374156396,285,5966,30.0,34.54545454545453,0.13009943170155602,5.6
1028113.9184987922,30.310452266665912,37.98328138390647,53.2027233193236,91.7002424425597,55.0776077657781,285.5871995829978,286,6066,30.0,38.18181818181819,0.1306767216176944,5.6
1033605.2992713768,30.197100372585272,41.01627486565998,53.12812895982316,91.71610614258933,55.0776077657781,287.112583130938,288,6166,30.0,41.81818181818181,0.1312506947069968,5.6
1040909.162108712,30.030580911979392,45.038248317189456,56.890329584961975,91.28151464779286,55.0776077657781,289.1414339190867,290,6266,30.0,45.45454545454544,0.13181991128286707,5.6
1047694.2342404393,29.89200581667011,49.03435392473381,57.12240273497256,91.19879474681964,55.0776077657781,291.0261761778998,292,6366,30.0,49.09090909090909,0.13238353903327993,5.6
1054502.217086292,29.75733373640165,53.05504456259006,55.30955886584525,92.23722458133018,55.0776077657781,292.91728252397,293,6466,30.0,52.72727272727272,0.13294147035517634,5.6
1059682.803190466,29.623384148275385,56.01170772646576,54.3972712877852,92.1772724405859,55.0776077657781,294.3563342195739,295,6566,30.0,56.363636363636346,0.1334942776629069,5.6
1066836.873114837,29.429434154754823,60.02019504168796,53.105399929005344,92.01998099339283,55.0776077657781,296.34357586523254,297,6666,30.0,60.0,0.13404299281253784,5.6
