     0.000	     6.906	     3.884	     2.966	    73.013	    50.000
     3.000	     6.876	     3.873	     2.964	    73.013	    50.000
     5.000	     6.827	     3.862	     2.962	    73.013	    50.000
     7.000	     6.965	     3.852	     2.960	    73.013	    50.000
     9.000	     6.956	     3.841	     2.959	    73.013	    50.000
    11.000	     7.512	     4.184	     3.360	   128.484	    83.497
    13.000	     7.492	     4.170	     3.357	   138.049	    89.274
    15.000	     7.472	     4.156	     3.354	   145.969	    94.058
    17.000	     7.453	     4.142	     3.352	   152.393	    97.937
    19.000	     7.435	     4.130	     3.349	   157.465	   101.000
    21.000	     7.417	     4.117	     3.347	   164.847	   105.457
    23.000	     7.399	     4.106	     3.346	   168.273	   107.525
    25.000	     7.383	     4.096	     3.345	   167.033	   106.627
    27.000	     7.369	     4.087	     3.344	   164.488	   105.045
    29.000	     7.356	     4.080	     3.345	   159.756	   102.168
    31.000	     7.361	     4.097	     3.359	   162.343	   103.790
    33.000	     7.398	     4.156	     3.394	   164.804	   105.357
    35.000	     7.382	     4.144	     3.392	   166.093	   106.153
    37.000	     7.367	     4.133	     3.390	   170.280	   108.866
    39.000	     7.353	     4.123	     3.388	   176.366	   112.810
    54.000	     7.285	     4.062	     3.379	   180.511	   115.600
    69.000	     7.267	     4.032	     3.380	   186.598	   119.621
    84.000	     7.385	     4.056	     3.406	   195.425	   125.375
    99.000	     7.449	     4.072	     3.423	   209.280	   134.477
   114.000	     7.501	     4.088	     3.440	   227.098	   146.224
   129.000	     7.553	     4.104	     3.457	   248.617	   160.397
   144.000	     7.603	     4.120	     3.473	   262.709	   169.554
   159.000	     7.651	     4.135	     3.488	   283.605	   183.287
   174.000	     7.697	     4.149	     3.503	   309.645	   200.490
   189.000	     7.742	     4.163	     3.518	   339.168	   220.058
   204.000	     7.785	     4.175	     3.532	   370.513	   240.886
   219.000	     7.827	     4.187	     3.546	   402.428	   262.139
   234.000	     7.869	     4.199	     3.560	   456.129	   298.095
   249.000	     7.910	     4.211	     3.574	   464.559	   303.770
   264.000	     7.951	     4.223	     3.588	   482.938	   316.282
   279.000	     7.991	     4.234	     3.601	   504.824	   331.267
   294.000	     8.031	     4.245	     3.615	   528.860	   347.660
   309.000	     8.070	     4.256	     3.629	   556.102	   365.978
   324.000	     8.109	     4.267	     3.642	   581.290	   382.620
   339.000	     8.148	     4.277	     3.656	   602.028	   395.935
   354.000	     8.188	     4.290	     3.670	   622.795	   408.694
   369.000	     8.233	     4.309	     3.687	   641.091	   419.369
   500.000	     9.080	     4.840	     3.932	   656.294	   427.629
   750.000	    10.003	     5.366	     4.333	   678.117	   451.166
  1000.000	    10.869	     5.903	     4.638	   684.582	   457.441
  1250.000	    11.242	     6.051	     4.773	   675.708	   447.546
  1500.000	    11.584	     6.183	     4.900	   667.958	   433.266
  1750.000	    11.900	     6.302	     5.020	   652.674	   409.645
  2000.000	    12.196	     6.410	     5.135	   630.833	   378.195
  2250.000	    12.382	     6.411	     5.209	   603.432	   340.428
  2500.000	    12.643	     6.498	     5.313	   571.688	   297.858
  2750.000	    12.916	     6.601	     5.423	   535.812	   251.550
  3000.000	    13.160	     6.676	     5.523	   465.144	   181.531
  3250.000	     8.175	     0.000	    10.007	   432.135	   137.311
  3500.000	     8.486	     0.000	    10.301	   336.356	     0.000
  3750.000	     8.756	     0.000	    10.563	   337.796	     0.000
  4000.000	     8.991	     0.000	    10.794	   337.057	     0.000
  4250.000	     9.192	     0.000	    10.996	   337.057	     0.000
  4500.000	     9.362	     0.000	    11.168	   337.796	     0.000
  4750.000	     9.504	     0.000	    11.313	   339.417	     0.000
  5000.000	     9.620	     0.000	    11.433	   338.577	     0.000
  5250.000	     9.710	     0.000	    11.526	   339.417	     0.000
  5500.000	     9.776	     0.000	    11.594	   337.057	     0.000
  5750.000	     9.817	     0.000	    11.636	   338.577	     0.000
  6000.000	     9.834	     0.000	    11.654	   337.796	     0.000
