distance,amp_median,amp_qmin,amp_qmax,freq,model,comp,m0_default
0.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
5.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
10.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
15.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
20.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
25.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
30.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
35.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
40.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
45.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
50.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
55.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
60.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
65.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
70.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
75.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
80.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
85.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
90.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
95.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
100.0,0.00012541948966128622,5.6505898343102274e-05,0.0002471682726503038,0.01,Cold100,u,6.0
105.0,0.0001146030033997965,5.176195763352999e-05,0.00022986502153128839,0.01,Cold100,u,6.0
110.0,0.00011243140259289176,5.1267791214633656e-05,0.0002247513607268011,0.01,Cold100,u,6.0
115.0,0.000110259801785987,5.0773624795737334e-05,0.00021963769992231383,0.01,Cold100,u,6.0
