lat,lon,proba,snr,duration
-65.0,-180.0,0.37344779567016173,0.1,30.0
-59.583333333333336,-180.0,0.3743642493365018,0.1,30.0
-54.166666666666664,-180.0,0.37647044609935565,0.1,30.0
-48.75,-180.0,0.3784279974363406,0.1,30.0
-43.33333333333333,-180.0,0.380104647962597,0.1,30.0
-37.916666666666664,-180.0,0.38096981026053733,0.1,30.0
-32.5,-180.0,0.383086363001376,0.1,30.0
-27.08333333333333,-180.0,0.38532847424375605,0.1,30.0
-21.666666666666664,-180.0,0.3838231006956818,0.1,30.0
-16.25,-180.0,0.3832261233945542,0.1,30.0
-10.833333333333329,-180.0,0.3744440776334539,0.1,30.0
-5.416666666666664,-180.0,0.36663760318490834,0.1,30.0
0.0,-180.0,0.3609943178687781,0.1,30.0
5.416666666666671,-180.0,0.3635613327896078,0.1,30.0
10.833333333333343,-180.0,0.3661608149241844,0.1,30.0
16.25,-180.0,0.3673136304975395,0.1,30.0
21.66666666666667,-180.0,0.36753301417459083,0.1,30.0
27.083333333333343,-180.0,0.3668418711267365,0.1,30.0
32.5,-180.0,0.36608626875029737,0.1,30.0
37.91666666666667,-180.0,0.3658768031030515,0.1,30.0
43.33333333333334,-180.0,0.3655832680600043,0.1,30.0
48.75,-180.0,0.36577569520563813,0.1,30.0
54.16666666666667,-180.0,0.3654839118563925,0.1,30.0
59.58333333333334,-180.0,0.3656484188312257,0.1,30.0
65.0,-180.0,0.36542041329113073,0.1,30.0
-65.0,-167.6206896551724,0.373387559331695,0.1,30.0
-59.583333333333336,-167.6206896551724,0.37417165454591705,0.1,30.0
-54.166666666666664,-167.6206896551724,0.3764826310362579,0.1,30.0
-48.75,-167.6206896551724,0.3782779655638422,0.1,30.0
-43.33333333333333,-167.6206896551724,0.38011076676407973,0.1,30.0
-37.916666666666664,-167.6206896551724,0.38090373765177854,0.1,30.0
-32.5,-167.6206896551724,0.38307184779270975,0.1,30.0
-27.08333333333333,-167.6206896551724,0.3852308150953009,0.1,30.0
-21.666666666666664,-167.6206896551724,0.3837204182700975,0.1,30.0
-16.25,-167.6206896551724,0.38286325267160903,0.1,30.0
-10.833333333333329,-167.6206896551724,0.373965212130963,0.1,30.0
-5.416666666666664,-167.6206896551724,0.3666720712367393,0.1,30.0
0.0,-167.6206896551724,0.36100348004891747,0.1,30.0
5.416666666666671,-167.6206896551724,0.3635581589954431,0.1,30.0
10.833333333333343,-167.6206896551724,0.36630226875129257,0.1,30.0
16.25,-167.6206896551724,0.367422967649109,0.1,30.0
21.66666666666667,-167.6206896551724,0.3672918655071524,0.1,30.0
27.083333333333343,-167.6206896551724,0.3670276192399863,0.1,30.0
32.5,-167.6206896551724,0.36617077760467687,0.1,30.0
37.91666666666667,-167.6206896551724,0.3658439185455573,0.1,30.0
43.33333333333334,-167.6206896551724,0.36545124012909436,0.1,30.0
48.75,-167.6206896551724,0.36570215127811123,0.1,30.0
54.16666666666667,-167.6206896551724,0.3653828386937009,0.1,30.0
59.58333333333334,-167.6206896551724,0.3656615599859977,0.1,30.0
65.0,-167.6206896551724,0.36546897924348176,0.1,30.0
-65.0,-155.24137931034483,0.37351463874886404,0.1,30.0
-59.583333333333336,-155.24137931034483,0.3740176993512756,0.1,30.0
-54.166666666666664,-155.24137931034483,0.376465309718097,0.1,30.0
-48.75,-155.24137931034483,0.37807250171817186,0.1,30.0
-43.33333333333333,-155.24137931034483,0.3799633453063497,0.1,30.0
-37.916666666666664,-155.24137931034483,0.380765032078789,0.1,30.0
-32.5,-155.24137931034483,0.38300014662220594,0.1,30.0
-27.08333333333333,-155.24137931034483,0.3850424193759987,0.1,30.0
-21.666666666666664,-155.24137931034483,0.3836941362402885,0.1,30.0
-16.25,-155.24137931034483,0.3822885791020635,0.1,30.0
-10.833333333333329,-155.24137931034483,0.37381863161480167,0.1,30.0
-5.416666666666664,-155.24137931034483,0.3668501502609691,0.1,30.0
0.0,-155.24137931034483,0.36110922815807833,0.1,30.0
5.416666666666671,-155.24137931034483,0.3634545986723361,0.1,30.0
10.833333333333343,-155.24137931034483,0.3664341464891787,0.1,30.0
16.25,-155.24137931034483,0.3675288770556925,0.1,30.0
21.66666666666667,-155.24137931034483,0.36736697790774364,0.1,30.0
27.083333333333343,-155.24137931034483,0.36715887099739064,0.1,30.0
32.5,-155.24137931034483,0.36616587606112505,0.1,30.0
37.91666666666667,-155.24137931034483,0.36584923305133843,0.1,30.0
43.33333333333334,-155.24137931034483,0.365407081403894,0.1,30.0
48.75,-155.24137931034483,0.365596485762237,0.1,30.0
54.16666666666667,-155.24137931034483,0.3652451732196814,0.1,30.0
59.58333333333334,-155.24137931034483,0.365637368643119,0.1,30.0
65.0,-155.24137931034483,0.36549807113851895,0.1,30.0
-65.0,-180.0,0.6076385279469918,0.1,60.0
-59.583333333333336,-180.0,0.6076579785486449,0.1,60.0
-54.166666666666664,-180.0,0.6090696453299778,0.1,60.0
-48.75,-180.0,0.61061077896775,0.1,60.0
-43.33333333333333,-180.0,0.611091328589078,0.1,60.0
-37.916666666666664,-180.0,0.611843493338352,0.1,60.0
-32.5,-180.0,0.6133752411436642,0.1,60.0
-27.08333333333333,-180.0,0.6155394285020024,0.1,60.0
-21.666666666666664,-180.0,0.6163696036370234,0.1,60.0
-16.25,-180.0,0.6158541653603747,0.1,60.0
-10.833333333333329,-180.0,0.6144153659715663,0.1,60.0
-5.416666666666664,-180.0,0.6093729592687099,0.1,60.0
0.0,-180.0,0.5924657670994147,0.1,60.0
5.416666666666671,-180.0,0.597015903486781,0.1,60.0
10.833333333333343,-180.0,0.5979918773538064,0.1,60.0
16.25,-180.0,0.598004336676265,0.1,60.0
21.66666666666667,-180.0,0.5983886198842843,0.1,60.0
27.083333333333343,-180.0,0.5979349469718862,0.1,60.0
32.5,-180.0,0.5976544351516504,0.1,60.0
37.91666666666667,-180.0,0.597444505211266,0.1,60.0
43.33333333333334,-180.0,0.5971642195429947,0.1,60.0
48.75,-180.0,0.5974604322829185,0.1,60.0
54.16666666666667,-180.0,0.5970952454535623,0.1,60.0
59.58333333333334,-180.0,0.5973726272934761,0.1,60.0
65.0,-180.0,0.5971329563831851,0.1,60.0
-65.0,-167.6206896551724,0.6074921180761141,0.1,60.0
-59.583333333333336,-167.6206896551724,0.6077010040524359,0.1,60.0
-54.166666666666664,-167.6206896551724,0.6089837149040745,0.1,60.0
-48.75,-167.6206896551724,0.6106439603728084,0.1,60.0
-43.33333333333333,-167.6206896551724,0.6110170752339392,0.1,60.0
-37.916666666666664,-167.6206896551724,0.6117322282578763,0.1,60.0
-32.5,-167.6206896551724,0.6133043352592439,0.1,60.0
-27.08333333333333,-167.6206896551724,0.615236509377294,0.1,60.0
-21.666666666666664,-167.6206896551724,0.6163386451865904,0.1,60.0
-16.25,-167.6206896551724,0.6157792936400373,0.1,60.0
-10.833333333333329,-167.6206896551724,0.6141848678583428,0.1,60.0
-5.416666666666664,-167.6206896551724,0.6094351848202091,0.1,60.0
0.0,-167.6206896551724,0.5924683993248212,0.1,60.0
5.416666666666671,-167.6206896551724,0.597155055183864,0.1,60.0
10.833333333333343,-167.6206896551724,0.5979715767005405,0.1,60.0
16.25,-167.6206896551724,0.5980756105027646,0.1,60.0
21.66666666666667,-167.6206896551724,0.5984950288483186,0.1,60.0
27.083333333333343,-167.6206896551724,0.5979149833424056,0.1,60.0
32.5,-167.6206896551724,0.5976943863340869,0.1,60.0
37.91666666666667,-167.6206896551724,0.597346852023628,0.1,60.0
43.33333333333334,-167.6206896551724,0.5971511015961634,0.1,60.0
