intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687674,inactive_max,slope,,,
-0.6251382953687672,inactive_min,slope,,,
11.524130095021,inactive_max,intercept,,,
11.22310009935702,inactive_min,intercept,,,
-0.6251382953687674,active_high_max,slope,-0.6382654565388383,-0.6168396816461761,-0.8898451902826321
-0.6251382953687671,active_high_min,slope,-0.6382654565388383,-0.6168396816461762,-0.8898451902826323
-0.6251382953687672,active_low_max,slope,-0.6382654565388381,-0.6168396816461761,-0.6888899625734662
-0.6251382953687672,active_low_min,slope,-0.6382654565388378,-0.6168396816461762,-0.6888899625734661
11.496664685700338,active_low_max,intercept,12.58942833728712,11.258771181054874,12.746829185921305
11.195634690036357,active_low_min,intercept,12.288398341623132,10.957741185390892,12.445799190257317
11.46994198079597,active_high_max,intercept,13.215395963741107,11.258771181054874,16.93652485925618
11.168911985131986,active_high_min,intercept,12.914365968077128,10.957741185390892,16.6354948635922
