intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687671,inactive_max,slope,,,
-0.6251382953687671,inactive_min,slope,,,
11.880155952214116,inactive_max,intercept,,,
11.387452955141452,inactive_min,intercept,,,
-0.625138295368767,active_high_max,slope,-0.6382654565388377,-0.6168396816461769,-0.8898451902826324
-0.6251382953687671,active_high_min,slope,-0.638265456538838,-0.6168396816461769,-0.8898451902826326
-0.6251382953687671,active_low_max,slope,-0.638265456538838,-0.6168396816461769,-0.688889962573466
-0.625138295368767,active_low_min,slope,-0.6382654565388379,-0.6168396816461769,-0.688889962573466
11.824376978618364,active_low_max,intercept,13.015771904034139,11.614797038248012,13.102855043114422
11.331673981545697,active_low_min,intercept,12.523068906961466,11.122094041175345,12.610152046041755
11.795793539955449,active_high_max,intercept,13.571421820934221,11.614797038248012,17.292550716449302
11.303090542882783,active_high_min,intercept,13.07871882386156,11.122094041175345,16.799847719376636
