intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687672,inactive_max,slope,,,
-0.6251382953687674,inactive_min,slope,,,
12.126190086348961,inactive_max,intercept,,,
12.115194702047502,inactive_min,intercept,,,
-0.6251382953687675,active_high_max,slope,-0.638265456538838,-0.6168396816461762,-0.8898451902826322
-0.6251382953687674,active_high_min,slope,-0.6382654565388378,-0.6168396816461762,-0.8898451902826325
-0.6251382953687672,active_low_max,slope,-0.6382654565388381,-0.6168396816461762,-0.6888899625734661
-0.6251382953687671,active_low_min,slope,-0.638265456538838,-0.6168396816461762,-0.688889962573466
12.094963046838636,active_low_max,intercept,13.350108763966102,11.860831172382834,13.348889177249266
12.083967662537171,active_low_min,intercept,13.339113379664637,11.849835788081371,13.337893792947797
12.06800051158152,active_high_max,intercept,13.817455955069066,11.860831172382834,17.53858485058414
12.057005127280055,active_high_min,intercept,13.8064605707676,11.849835788081371,17.527589466282684
