intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687672,inactive_max,slope,,,
-0.6251382953687671,inactive_min,slope,,,
11.82516009068498,inactive_max,intercept,,,
11.369228135035256,inactive_min,intercept,,,
-0.6251382953687675,active_high_max,slope,-0.638265456538838,-0.6168396816461761,-0.8898451902826322
-0.6251382953687671,active_high_min,slope,-0.6382654565388379,-0.6168396816461762,-0.8898451902826324
-0.6251382953687672,active_low_max,slope,-0.6382654565388379,-0.6168396816461761,-0.6888899625734662
-0.6251382953687675,active_low_min,slope,-0.6382654565388378,-0.6168396816461762,-0.6888899625734662
11.79769468136432,active_low_max,intercept,12.890458332951097,11.559801176718851,13.047859181585284
11.3417627257146,active_low_min,intercept,12.434526377301372,11.10386922106913,12.59192722593556
11.770971976459954,active_high_max,intercept,13.516425959405083,11.559801176718851,17.237554854920162
11.315040020810224,active_high_min,intercept,13.060494003755359,11.10386922106913,16.78162289927044
