lon,lat,type
289.83225947752726,40.23823266414112,corona
205.1774249053376,26.787182925552372,corona
9.689510627880813,14.176416639815798,corona
109.80941488874885,-4.171377648808175,corona
97.31437843255135,60.324911634894804,corona
203.00164520066258,-5.057085415372768,corona
22.598692519871552,78.16477102450308,corona
38.93492466277187,16.704054577657914,corona
354.57269402742634,-0.9050876877368523,corona
193.91523857332342,40.55625209052282,corona
248.4330754124418,31.363660330686997,corona
255.6238496308103,64.81754828212944,corona
179.2648167424432,-4.664772973324503,corona
300.3238934958724,0.3296203236177888,corona
260.3578509267133,16.15772457329099,corona
114.89659867583396,-13.690160287754352,corona
354.4811248232033,2.997533111416388,corona
99.34721804619798,68.8671925873375,corona
94.86094621152482,59.59742434525519,corona
2.2737469326802815,-36.71389480138607,corona
32.91832164605778,-5.564532807088511,corona
35.67491669062401,-6.02610156685256,corona
213.369084280669,3.141465199786225,corona
256.12703710286706,-4.853239703646935,corona
135.16972803339618,-34.82882848999302,corona
74.61929168461994,1.513657780449293,corona
203.94861517231868,50.0897956933826,corona
203.0372256827002,-47.549010733439836,corona
254.5719006206342,-5.364459005287998,corona
74.61929168461994,1.513657780449293,corona
85.20293706958441,19.92701442008402,corona
349.18366655758354,-5.181138115632436,corona
100.32655356120566,-14.238986863482538,corona
171.39455589981358,-14.326110114716556,corona
31.124892144247994,-27.62658421433767,corona
240.38569420401524,30.502985833104745,corona
265.6592183931964,7.277878483781791,corona
172.71191105200683,-21.20530756840781,corona
223.9134452984855,3.8755551170377487,corona
325.4857985495184,-4.363087444312455,corona
254.8859647033611,53.100091053279144,corona
197.69711700076,63.42240892085515,corona
122.76603436292922,-13.892797728529516,corona
264.1597003037427,-45.79810755492752,corona
137.07967775929833,70.9433866050402,corona
124.92232676408945,-35.85115885306258,corona
19.94353245023025,-10.583556193343007,corona
345.92384988724905,-14.398702650218702,corona
313.3244145144323,6.933364533030655,corona
169.90385490448043,-18.841711185205213,corona
48.10312779069707,12.1084845021727,corona
303.0384631617274,79.07437195160837,corona
339.39478503844043,-3.8935358154880078,corona
172.9172097119285,-19.261618848779726,corona
209.35142511208983,-4.1319498171860545,corona
157.96725070584012,23.983134858302662,corona
185.12060323390233,-5.218380331060629,corona
320.29061154749485,51.05865589351325,corona
310.91068960619947,28.047848738770526,corona
177.281246877476,-3.843774145361749,corona
254.5719006206342,-5.364459005287998,corona
341.28034796628515,14.26600246511272,corona
167.9386511047443,-55.41579473114491,corona
151.24911857712777,-36.19691084872057,corona
136.1388129867142,-33.97949156677506,corona
214.92468635595014,42.93907872998635,corona
263.81751174004665,9.605796503779871,corona
125.38933853753574,17.4014273397227,corona
143.5486985057956,-32.78762052235767,corona
94.1312964820033,-14.538523981096482,corona
320.29061154749485,51.05865589351325,corona
287.01421955755734,-30.259938290033354,corona
284.49861516700236,62.848026543824645,corona
12.808785718422229,-6.1156861991552205,corona
81.0712416283815,-67.37711959761516,corona
30.422415069311498,-24.97359403679534,corona
203.80031459677403,76.7105875070419,corona
208.3449652520429,-28.175547484405797,corona
310.2874101998869,-13.871156878779338,corona
97.94303282734506,-73.27971728577451,corona
44.76918344325256,13.831355512061421,corona
65.58020913320897,-70.1354229787496,corona
124.37646419310863,-37.67956981455378,corona
218.9211975242322,42.812595502023186,corona
76.4452671140049,-14.844957474374965,corona
166.18348993634302,-14.671774740057998,corona
254.22252627581557,62.04106932906042,corona
152.07437838325743,-1.4706380305135696,corona
270.18246071116636,-14.650735482260956,corona
260.98337995879774,-4.577670307233433,corona
213.13590265709647,74.02520120417016,corona
210.50749413905686,-28.390868940285856,corona
229.9558746889482,43.95563738853883,corona
285.112798282851,-41.52009803606779,corona
65.46886579791207,-3.8338882429513745,corona
331.306382635513,-5.136015153749014,corona
67.41021015448153,-43.620454979557294,corona
253.80530729624073,61.352636792369836,corona
346.03850016440504,-68.80134926822211,corona
132.0339301606479,-25.25954077155035,corona
169.58839390855567,-21.72141690217405,corona
136.63235368452717,-42.70822883670699,corona
194.79850410318392,-14.142284090278956,corona
88.62716378865215,-59.006111770455824,corona
206.59969359765182,76.32382967837101,corona
68.36876291537935,10.35108888277945,corona
272.8927837722352,-5.402830107546521,corona
356.9614917452772,3.9881899100824256,corona
22.351467536802065,41.30159202403101,corona
328.94487641641496,-13.74938411314632,corona
341.97252233471914,26.47254840101121,corona
172.92166008903078,-20.396832500975826,corona
257.29116224855443,-8.218068236708206,corona
9.096431337228452,10.20566361748591,corona
46.934622680436156,34.01310206243086,corona
205.3316518032823,50.16253834099584,corona
255.25395749238857,38.055300905390055,corona
18.061370950596302,43.34541982865548,corona
35.67491669062401,-6.02610156685256,corona
158.50364694780555,54.78374221336564,corona
119.94260117246284,-23.729999219103178,corona
56.86073658015985,-23.249972730995673,corona
151.3568277061738,24.660281310974412,corona
254.71769773825187,9.08768581578363,corona
322.65480758796554,67.4086578053044,corona
151.17120966143275,25.035514019172453,corona
42.40733920935033,16.023819240948526,corona
128.80744430853076,-34.1432864547584,corona
64.61953129039533,-70.87130687466303,corona
279.81316840293323,-46.090412011885874,corona
36.973869833805196,-37.101442179211695,corona
244.97782885518365,-3.960579853164262,corona
125.71215291306058,-26.626750438876115,corona
128.49046846494755,-13.989636669065447,corona
309.40290319231906,11.374693651489196,corona
65.03477877799472,13.831629335067888,corona
14.029487466281111,44.079205316598575,corona
238.7558152296674,26.071908412139805,corona
49.961753739035686,-28.068229603950257,corona
175.12793810949208,-21.920341287067565,corona
151.993763906129,54.01748755797986,corona
124.92232676408945,-35.85115885306258,corona
