intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687672,inactive_max,slope,,,
-0.6251382953687672,inactive_min,slope,,,
11.880155952214121,inactive_max,intercept,,,
11.387452955141454,inactive_min,intercept,,,
-0.6251382953687674,active_high_max,slope,-0.6382654565388378,-0.6168396816461763,-0.8898451902826321
-0.6251382953687671,active_high_min,slope,-0.6382654565388383,-0.6168396816461762,-0.8898451902826324
-0.6251382953687674,active_low_max,slope,-0.6382654565388381,-0.6168396816461763,-0.6888899625734661
-0.6251382953687674,active_low_min,slope,-0.6382654565388377,-0.6168396816461762,-0.6888899625734661
11.848928912703796,active_low_max,intercept,13.104074629831262,11.614797038247996,13.102855043114426
11.356225915631132,active_low_min,intercept,12.611371632758589,11.122094041175329,12.610152046041756
11.821966377446682,active_high_max,intercept,13.571421820934223,11.614797038247996,17.292550716449302
11.32926338037401,active_high_min,intercept,13.078718823861566,11.122094041175329,16.79984771937664
