intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687672,inactive_max,slope,,,
-0.6251382953687672,inactive_min,slope,,,
11.880155952214121,inactive_max,intercept,,,
11.387452955141454,inactive_min,intercept,,,
-0.6251382953687672,active_high_max,slope,-0.6382654565388378,-0.6168396816461763,-0.8898451902826321
-0.6251382953687672,active_high_min,slope,-0.6382654565388383,-0.6168396816461762,-0.8898451902826324
-0.6251382953687674,active_low_max,slope,-0.6382654565388383,-0.6168396816461763,-0.6888899625734661
-0.6251382953687675,active_low_min,slope,-0.638265456538838,-0.6168396816461762,-0.6888899625734661
11.855059239904485,active_low_max,intercept,12.803044634167282,11.614797038247996,13.102855043114426
11.36235624283182,active_low_min,intercept,12.310341637094615,11.122094041175329,12.610152046041756
11.828486426401705,active_high_max,intercept,13.571421820934223,11.614797038247996,17.292550716449302
11.335783429329037,active_high_min,intercept,13.078718823861566,11.122094041175329,16.79984771937664
