intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687671,inactive_max,slope,,,
-0.6251382953687672,inactive_min,slope,,,
11.369228135035256,inactive_max,intercept,,,
11.22310009935702,inactive_min,intercept,,,
-0.6251382953687671,active_high_max,slope,-0.6382654565388379,-0.6168396816461762,-0.8898451902826324
-0.6251382953687671,active_high_min,slope,-0.6382654565388383,-0.6168396816461762,-0.8898451902826323
-0.6251382953687675,active_low_max,slope,-0.6382654565388378,-0.6168396816461762,-0.6888899625734662
-0.6251382953687672,active_low_min,slope,-0.6382654565388378,-0.6168396816461762,-0.6888899625734661
11.3417627257146,active_low_max,intercept,12.434526377301372,11.10386922106913,12.59192722593556
11.195634690036357,active_low_min,intercept,12.288398341623132,10.957741185390892,12.445799190257317
11.315040020810224,active_high_max,intercept,13.060494003755359,11.10386922106913,16.78162289927044
11.168911985131986,active_high_min,intercept,12.914365968077128,10.957741185390892,16.6354948635922
