intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687674,inactive_max,slope,,,
-0.6251382953687674,inactive_min,slope,,,
12.223100099357017,inactive_max,intercept,,,
12.21432617504951,inactive_min,intercept,,,
-0.6251382953687672,active_high_max,slope,-0.638265456538838,-0.6168396816461762,-0.8898451902826322
-0.6251382953687674,active_high_min,slope,-0.6382654565388383,-0.6168396816461761,-0.8898451902826325
-0.6251382953687675,active_low_max,slope,-0.6382654565388383,-0.6168396816461762,-0.6888899625734665
-0.6251382953687671,active_low_min,slope,-0.6382654565388374,-0.6168396816461761,-0.6888899625734665
12.167321125761266,active_low_max,intercept,13.358716051177039,11.957741185390889,13.445799190257324
12.158547201453755,active_low_min,intercept,13.349942126869516,11.948967261083382,13.437025265949817
12.138737687098349,active_high_max,intercept,13.91436596807712,11.957741185390889,17.6354948635922
12.129963762790846,active_high_min,intercept,13.905592043769621,11.948967261083382,17.6267209392847
