iloc,lon,lat,iradius,radius,ratio,ratio_map
1176,0,-89,0,10000.0,0.00023691580462895667,0.00028854074179542055
1176,0,-89,1,510000.0,0.0025580965931347446,0.003115516458361353
1176,0,-89,2,1010000.0,0.013796340182306742,0.01680261997083417
1176,0,-89,3,1510000.0,0.02905131433512001,0.03538171630852408
1176,0,-89,4,2010000.0,0.04694913166465081,0.057179542320468235
1176,0,-89,5,2510000.0,0.06536028053160305,0.07960255694246116
1176,0,-89,6,3010000.0,0.08572116143475844,0.10440015830386318
1176,0,-89,7,3510000.0,0.10707180524251449,0.13040319601486766
1176,0,-89,8,4010000.0,0.13029581661542425,0.15868781585903333
1176,0,-89,9,4510000.0,0.15524606043721428,0.18907482136755482
1176,0,-89,10,5010000.0,0.17984060404580404,0.21902861811005775
1176,0,-89,11,5510000.0,0.20443521906181217,0.2489825018199519
1176,0,-89,12,6010000.0,0.2290427983830064,0.2789521748109416
1176,0,-89,13,6510000.0,0.25304951589343455,0.3081900557086748
1176,0,-89,14,7010000.0,0.2777456194217614,0.33826754269895803
1176,0,-89,15,7510000.0,0.30215013728880313,0.3679899063021127
1176,0,-89,16,8010000.0,0.3235680475642939,0.3940748681233662
1176,0,-89,17,8510000.0,0.3452324210296552,0.4204599984865278
1176,0,-89,18,9010000.0,0.3714218067507179,0.45235616005733015
1176,0,-89,19,9510000.0,0.39727759858562894,0.4838460362495804
1176,0,-89,20,10010000.0,0.42436680781562386,0.5168380966067
1176,0,-89,21,10510000.0,0.45119037019490554,0.5495066245617476
1176,0,-89,22,11010000.0,0.4780466887253056,0.5822150463691993
1176,0,-89,23,11510000.0,0.5018653859544042,0.6112239365859081
1176,0,-89,24,12010000.0,0.5259652317631356,0.6405752388246811
1176,0,-89,25,12510000.0,0.5531442292963639,0.6736766527289821
1176,0,-89,26,13010000.0,0.5820069688121319,0.7088287029823226
1176,0,-89,27,13510000.0,0.6106100539990431,0.7436645191508326
1176,0,-89,28,14010000.0,0.6372795710392534,0.7761454346480479
1176,0,-89,29,14510000.0,0.6630288395953153,0.8075055756968545
1176,0,-89,30,15010000.0,0.6879236706706968,0.8378250937915301
1176,0,-89,31,15510000.0,0.7110243384169878,0.8659594929208893
1176,0,-89,32,16010000.0,0.7334129571213766,0.8932266845666996
1176,0,-89,33,16510000.0,0.7519739370977766,0.915832179118775
1176,0,-89,34,17010000.0,0.7686552774896824,0.9361484528193018
1176,0,-89,35,17510000.0,0.7851211144641836,0.9562022640133075
1176,0,-89,36,18010000.0,0.798372711196708,0.9723414386756509
1176,0,-89,37,18510000.0,0.809140850039445,0.9854559996662337
1212,10,-89,0,10000.0,0.00023698519598343708,0.0002886252538140565
1212,10,-89,1,510000.0,0.00255714013295212,0.0031143515815350705
1212,10,-89,2,1010000.0,0.013795143820099009,0.01680116291633578
1212,10,-89,3,1510000.0,0.02905004088496305,0.03538016536829237
1212,10,-89,4,2010000.0,0.046967103528521265,0.0572014303280697
1212,10,-89,5,2510000.0,0.0654118452429975,0.07966535781849186
1212,10,-89,6,3010000.0,0.08571722442547958,0.10439536340392158
1212,10,-89,7,3510000.0,0.10715483569680727,0.1305043191497753
1212,10,-89,8,4010000.0,0.13036981383180313,0.15877793737599247
1212,10,-89,9,4510000.0,0.1552563677728655,0.18908737471442583
1212,10,-89,10,5010000.0,0.17983291000116353,0.2190192475011553
1212,10,-89,11,5510000.0,0.2043951649096638,0.2489337197018025
1212,10,-89,12,6010000.0,0.22909210951963327,0.27901223104890926
1212,10,-89,13,6510000.0,0.25305990401561884,0.30820270744579975
1212,10,-89,14,7010000.0,0.2777812482035179,0.3383109351401394
1212,10,-89,15,7510000.0,0.30213364331161086,0.3679698182188307
1212,10,-89,16,8010000.0,0.3235698211516861,0.3940770281828125
1212,10,-89,17,8510000.0,0.3452123881211366,0.4204356003240949
1212,10,-89,18,9010000.0,0.37138004702737504,0.4523053007169438
1212,10,-89,19,9510000.0,0.3972309687041334,0.48378924552336594
1212,10,-89,20,10010000.0,0.42433715352608126,0.5168019805243836
1212,10,-89,21,10510000.0,0.4511013779255274,0.5493982405075025
1212,10,-89,22,11010000.0,0.47800831013616335,0.5821683049261895
1212,10,-89,23,11510000.0,0.5018263867497433,0.6111764392926824
1212,10,-89,24,12010000.0,0.5259438420896259,0.6405491882525342
1212,10,-89,25,12510000.0,0.553115415724482,0.6736415605601941
1212,10,-89,26,13010000.0,0.5819772296426264,0.7087924835243472
1212,10,-89,27,13510000.0,0.6105474141788849,0.7435882298538704
1212,10,-89,28,14010000.0,0.6372432162562975,0.7761011580069925
1212,10,-89,29,14510000.0,0.6630216156497457,0.8074967776235618
1212,10,-89,30,15010000.0,0.687894597637431,0.8377896856236456
1212,10,-89,31,15510000.0,0.7109856363552962,0.8659123575193192
1212,10,-89,32,16010000.0,0.7334471530823496,0.8932683319695018
1212,10,-89,33,16510000.0,0.7519077912434318,0.9157516198082248
1212,10,-89,34,17010000.0,0.7686432482899449,0.9361338024070134
1212,10,-89,35,17510000.0,0.7850770894994207,0.9561486458259937
1212,10,-89,36,18010000.0,0.7983370633535183,0.972298023019471
1212,10,-89,37,18510000.0,0.8091423054491256,0.9854577722157243
1248,20,-89,0,10000.0,0.00023696694957215316,0.00028860303143402066
1248,20,-89,1,510000.0,0.0025542781144131223,0.0031108659172773907
1248,20,-89,2,1010000.0,0.01379157725217399,0.016796819178456573
1248,20,-89,3,1510000.0,0.029046253131291448,0.03537555224737435
1248,20,-89,4,2010000.0,0.0469834287944233,0.057221312937171094
1248,20,-89,5,2510000.0,0.06545456893220103,0.07971739117690091
1248,20,-89,6,3010000.0,0.0856997883203637,0.10437412789913102
1248,20,-89,7,3510000.0,0.10722288201587994,0.13058719304420555
1248,20,-89,8,4010000.0,0.13042855079411086,0.15884947336617947
1248,20,-89,9,4510000.0,0.15524852669898218,0.18907782503799833
1248,20,-89,10,5010000.0,0.17980994234757547,0.21899127510052135
1248,20,-89,11,5510000.0,0.20435623215810766,0.24888630334208878
1248,20,-89,12,6010000.0,0.22914049075183407,0.27907115475241673
1248,20,-89,13,6510000.0,0.2530890903795143,0.30823825363952834
1248,20,-89,14,7010000.0,0.27784073322563674,0.33838338219547515
1248,20,-89,15,7510000.0,0.30215984020906855,0.3680017235289767
1248,20,-89,16,8010000.0,0.3236164489773649,0.3941338164052392
1248,20,-89,17,8510000.0,0.3452103673894265,0.42043313926655795
1248,20,-89,18,9010000.0,0.37134055421927015,0.45225720226203486
1248,20,-89,19,9510000.0,0.39719845363559,0.4837496452864306
1248,20,-89,20,10010000.0,0.4243136436581415,0.5167733477586401
1248,20,-89,21,10510000.0,0.4510248199692101,0.5493050002547438
1248,20,-89,22,11010000.0,0.4779616395914965,0.5821114646761301
1248,20,-89,23,11510000.0,0.5017962672854295,0.6111397566720813
1248,20,-89,24,12010000.0,0.5259446184368128,0.6405501337689955
1248,20,-89,25,12510000.0,0.553094442177635,0.6736160167904369
1248,20,-89,26,13010000.0,0.5819533200348468,0.7087633639137937
1248,20,-89,27,13510000.0,0.610490019878311,0.7435183290969819
1248,20,-89,28,14010000.0,0.6372077824529983,0.7760580030308835
1248,20,-89,29,14510000.0,0.6630157781910302,0.8074896681583632
1248,20,-89,30,15010000.0,0.6878606813254888,0.8377483788065591
1248,20,-89,31,15510000.0,0.710949593584159,0.8658684608787527
1248,20,-89,32,16010000.0,0.7334730690650515,0.8932998951524007
1248,20,-89,33,16510000.0,0.7518507869688583,0.9156821940656211
1248,20,-89,34,17010000.0,0.76863559514791,0.9361244816135642
1248,20,-89,35,17510000.0,0.7850212335933806,0.9560806186861931
1248,20,-89,36,18010000.0,0.7982960251550067,0.9722480424271714
1248,20,-89,37,18510000.0,0.8091472098000733,0.9854637452450995
1284,30,-89,0,10000.0,0.0002369348754047696,0.0002885639681724378
1284,30,-89,1,510000.0,0.002549534974945618,0.003105089228033141
1284,30,-89,2,1010000.0,0.013785709168833548,0.016789672415400306
1284,30,-89,3,1510000.0,0.029040049102417576,0.03536799633485855
1284,30,-89,4,2010000.0,0.04699609197849932,0.057236735481616834
1284,30,-89,5,2510000.0,0.06548587581765747,0.07975551996264002
1284,30,-89,6,3010000.0,0.08567525146081344,0.10434424435604256
1284,30,-89,7,3510000.0,0.10727359718322486,0.13064895925701225
1284,30,-89,8,4010000.0,0.1304702540539306,0.1589002639394066
1284,30,-89,9,4510000.0,0.15522419655683947,0.18904819325689853
1284,30,-89,10,5010000.0,0.17976997516845777,0.21894259890718698
1284,30,-89,11,5510000.0,0.20431986397353255,0.24884201037914572
1284,30,-89,12,6010000.0,0.22918389810887926,0.27912402075272774
1284,30,-89,13,6510000.0,0.2531381394728784,0.30829799073391856
1284,30,-89,14,7010000.0,0.277922252573498,0.3384826649475879
1284,30,-89,15,7510000.0,0.30221703477594053,0.3680713810293607
1284,30,-89,16,8010000.0,0.3236988334369029,0.39423415278045376
1284,30,-89,17,8510000.0,0.34522842427995953,0.4204551308284846
1284,30,-89,18,9010000.0,0.37130450402900445,0.45221329658568105
1284,30,-89,19,9510000.0,0.39718116110637536,0.48372858464332613
1284,30,-89,20,10010000.0,0.4242972991383201,0.5167534417001105
1284,30,-89,21,10510000.0,0.45096025285139557,0.5492263636939666
1284,30,-89,22,11010000.0,0.4779032703588366,0.5820403765454074
1284,30,-89,23,11510000.0,0.5017721781899696,0.611110418462737
1284,30,-89,24,12010000.0,0.5259660766173289,0.6405762677761098
1284,30,-89,25,12510000.0,0.5530782042599623,0.6735962405631066
1284,30,-89,26,13010000.0,0.5819328419677303,0.7087384235908566
1284,30,-89,27,13510000.0,0.6104350711402732,0.7434514068008565
1284,30,-89,28,14010000.0,0.6371748717638606,0.7760179209659843
1284,30,-89,29,14510000.0,0.6630101924224787,0.8074828652276602
1284,30,-89,30,15010000.0,0.6878212043040799,0.8377002995783326
1284,30,-89,31,15510000.0,0.7109226620186121,0.8658356608132914
1284,30,-89,32,16010000.0,0.7334783563159936,0.8933063345172684
1284,30,-89,33,16510000.0,0.7518045619232206,0.9156258963906783
1284,30,-89,34,17010000.0,0.7686325812412419,0.9361208109641235
1284,30,-89,35,17510000.0,0.7849645106558873,0.9560115355851869
1284,30,-89,36,18010000.0,0.7982530168340561,0.9721956624145763
1284,30,-89,37,18510000.0,0.80915590028802,0.9854743294264402
1185,40,-89,0,10000.0,0.00023699726289313442,0.0002886399501534616
1185,40,-89,1,510000.0,0.002542957091298841,0.003097077996237704
1185,40,-89,2,1010000.0,0.013777657682976051,0.01677986647735613
1185,40,-89,3,1510000.0,0.02903159296413244,0.035357697568943205
1185,40,-89,4,2010000.0,0.04700469908820896,0.057247218116256694
1185,40,-89,5,2510000.0,0.06550839078998433,0.07978294104088707
1185,40,-89,6,3010000.0,0.08564555591647845,0.10430807802934328
1185,40,-89,7,3510000.0,0.10730373638036422,0.13068566591030342
1185,40,-89,8,4010000.0,0.13049313188538844,0.15892812694529537
1185,40,-89,9,4510000.0,0.15518990384234443,0.1890064280175804
1185,40,-89,10,5010000.0,0.17971796967388837,0.218879261199498
1185,40,-89,11,5510000.0,0.20428074830014872,0.24879437123817888
1185,40,-89,12,6010000.0,0.22922272880887165,0.2791713128234184
1185,40,-89,13,6510000.0,0.2532126219925677,0.30838870330379387
1185,40,-89,14,7010000.0,0.27802099992585294,0.3386029297578797
1185,40,-89,15,7510000.0,0.302295774116931,0.3681672779995668
1185,40,-89,16,8010000.0,0.32381213627832445,0.39437214478129345
1185,40,-89,17,8510000.0,0.34526708016193336,0.4205022099875849
1185,40,-89,18,9010000.0,0.37127545329230904,0.45217791557288234
1185,40,-89,19,9510000.0,0.3971844914735991,0.48373264071139077
1185,40,-89,20,10010000.0,0.4242893303005521,0.5167437364195175
1185,40,-89,21,10510000.0,0.450908613267644,0.5491634716305813
1185,40,-89,22,11010000.0,0.47784190856078046,0.5819656437568679
1185,40,-89,23,11510000.0,0.5017562901909524,0.6110910684027895
1185,40,-89,24,12010000.0,0.5260050357389168,0.6406237162519945
1185,40,-89,25,12510000.0,0.5530706144935181,0.6735869969550522
1185,40,-89,26,13010000.0,0.5819154666082281,0.708717262068401
1185,40,-89,27,13510000.0,0.610384462939763,0.7433897708634019
1185,40,-89,28,14010000.0,0.6371470689195613,0.7759840597665143
1185,40,-89,29,14510000.0,0.6630063815883941,0.8074782239970114
1185,40,-89,30,15010000.0,0.6877867682070958,0.8376583597128859
1185,40,-89,31,15510000.0,0.7109045785853032,0.865813636924808
1185,40,-89,32,16010000.0,0.7334812098719345,0.8933098098748928
1185,40,-89,33,16510000.0,0.7517692870894717,0.9155829350242444
1185,40,-89,34,17010000.0,0.7686354602232723,0.9361243172882878
1185,40,-89,35,17510000.0,0.7849100931410001,0.9559452602679417
1185,40,-89,36,18010000.0,0.7982105592129745,0.9721439531016371
1185,40,-89,37,18510000.0,0.8091668771452458,0.9854876981864159
1221,50,-89,0,10000.0,0.00023693164166761245,0.0002885600297905323
1221,50,-89,1,510000.0,0.0025346109295358195,0.003086913171185115
1221,50,-89,2,1010000.0,0.013767594593040312,0.016767610598355742
1221,50,-89,3,1510000.0,0.029021108477938137,0.03534492846969048
1221,50,-89,4,2010000.0,0.047008720283575216,0.05725211554678354
1221,50,-89,5,2510000.0,0.06552091005965517,0.07979818831138141
1221,50,-89,6,3010000.0,0.08561264719014662,0.10426799835495347
1221,50,-89,7,3510000.0,0.10731465074739982,0.130698958563217
1221,50,-89,8,4010000.0,0.13049705535156148,0.1589329053510322
1221,50,-89,9,4510000.0,0.15514781120423488,0.18895516321891795
1221,50,-89,10,5010000.0,0.1796507105171243,0.21879734599331058
1221,50,-89,11,5510000.0,0.2042431428009794,0.24874857134465597
1221,50,-89,12,6010000.0,0.2292551077515161,0.27921074727205647
1221,50,-89,13,6510000.0,0.25331403961758747,0.3085122202502473
1221,50,-89,14,7010000.0,0.278136009654633,0.3387430005839179
1221,50,-89,15,7510000.0,0.3023969409369812,0.3682904894896069
1221,50,-89,16,8010000.0,0.3239507299298493,0.39454093856472955
1221,50,-89,17,8510000.0,0.3453262274055045,0.4205742456610255
1221,50,-89,18,9010000.0,0.37125612590082707,0.4521543766625766
1221,50,-89,19,9510000.0,0.3972053515419594,0.4837580462752282
1221,50,-89,20,10010000.0,0.4242887399599412,0.5167430174412373
1221,50,-89,21,10510000.0,0.4508765275509642,0.5491243943030627
1221,50,-89,22,11010000.0,0.47778496348649707,0.581896290114543
1221,50,-89,23,11510000.0,0.50174481425906,0.6110770918177061
1221,50,-89,24,12010000.0,0.5260602432656707,0.6406909537279715
1221,50,-89,25,12510000.0,0.5530684637705284,0.6735843775805963
1221,50,-89,26,13010000.0,0.5818960403993582,0.7086936028079884
1221,50,-89,27,13510000.0,0.6103412652550064,0.7433371602238414
1221,50,-89,28,14010000.0,0.6371252532354326,0.7759574903542662
1221,50,-89,29,14510000.0,0.6630042291627659,0.807475602548905
1221,50,-89,30,15010000.0,0.687757949875925,0.8376232617477402
1221,50,-89,31,15510000.0,0.7108934485481853,0.8658000816064058
1221,50,-89,32,16010000.0,0.7334853367659538,0.8933148360362478
1221,50,-89,33,16510000.0,0.7517447806577113,0.9155530885392876
1221,50,-89,34,17010000.0,0.7686466217328659,0.9361379109371486
1221,50,-89,35,17510000.0,0.7848602606493316,0.9558845690695048
1221,50,-89,36,18010000.0,0.798162798929414,0.9720857856540561
1221,50,-89,37,18510000.0,0.8091794096685286,0.9855029615985393
1257,60,-89,0,10000.0,0.00023699357322417812,0.00028863545649032544
1257,60,-89,1,510000.0,0.002524606075564508,0.0030747282180075158
1257,60,-89,2,1010000.0,0.013755738967251668,0.01675317158250004
1257,60,-89,3,1510000.0,0.02900886738177791,0.0353300199878693
1257,60,-89,4,2010000.0,0.047008098933459634,0.05725135880189882
1257,60,-89,5,2510000.0,0.06552081029239734,0.07979806680442401
1257,60,-89,6,3010000.0,0.0855805498898698,0.10422890691972393
1257,60,-89,7,3510000.0,0.10730714825393019,0.13068982124528064
1257,60,-89,8,4010000.0,0.130483124697674,0.15891593914984234
1257,60,-89,9,4510000.0,0.15509968084328424,0.18889654505254733
1257,60,-89,10,5010000.0,0.17958244083266434,0.21871420006124806
1257,60,-89,11,5510000.0,0.20420570430479348,0.24870297484475967
1257,60,-89,12,6010000.0,0.22928696215211228,0.27924954287875675
1257,60,-89,13,6510000.0,0.2534357965870325,0.30866050856869637
1257,60,-89,14,7010000.0,0.2782680260134638,0.3389037838552823
1257,60,-89,15,7510000.0,0.3025217596333681,0.3684425066980063
1257,60,-89,16,8010000.0,0.32410569839714337,0.39472967530425584
1257,60,-89,17,8510000.0,0.34540490415864306,0.42067006640522703
1257,60,-89,18,9010000.0,0.37124464539403024,0.452140394505698
1257,60,-89,19,9510000.0,0.397241089537993,0.4838015717289309
1257,60,-89,20,10010000.0,0.4242936560823487,0.516749004807122
1257,60,-89,21,10510000.0,0.4508692922168976,0.5491155823596722
1257,60,-89,22,11010000.0,0.4777353313544522,0.5818358429349235
1257,60,-89,23,11510000.0,0.5017404491946247,0.6110717755876127
1257,60,-89,24,12010000.0,0.5261276123200819,0.6407730027789593
1257,60,-89,25,12510000.0,0.5530772122329634,0.673595032369307
1257,60,-89,26,13010000.0,0.5818731919311781,0.7086657755637575
1257,60,-89,27,13510000.0,0.6103067348805675,0.7432951055374912
1257,60,-89,28,14010000.0,0.63710668364562,0.7759348743737589
1257,60,-89,29,14510000.0,0.6630032668881338,0.8074744305906366
1257,60,-89,30,15010000.0,0.6877348074601757,0.8375950765035447
1257,60,-89,31,15510000.0,0.7108925416077528,0.865798977039889
1257,60,-89,32,16010000.0,0.7334942897118004,0.8933257398661543
