iloc,lon,lat,iradius,radius,ratio,ratio_map
1176,0,-89,0,10000.0,0.0,0.0
1176,0,-89,1,510000.0,0.0,0.0
1176,0,-89,2,1010000.0,0.0,0.0
1176,0,-89,3,1510000.0,0.0,0.0
1176,0,-89,4,2010000.0,0.0,0.0
1176,0,-89,5,2510000.0,1.5335742711399978e-05,0.00019477534569267214
1176,0,-89,6,3010000.0,0.001038216722279095,0.013186125040784764
1176,0,-89,7,3510000.0,0.0032559773686488313,0.041353335764733844
1176,0,-89,8,4010000.0,0.005622093838997992,0.07140477586347763
1176,0,-89,9,4510000.0,0.007439683566731074,0.09448951810315379
1176,0,-89,10,5010000.0,0.009000549383309873,0.11431367561057046
1176,0,-89,11,5510000.0,0.010936287695912096,0.1388989928073291
1176,0,-89,12,6010000.0,0.01320453419645567,0.16770741145216939
1176,0,-89,13,6510000.0,0.017424943832709146,0.22130975477101564
1176,0,-89,14,7010000.0,0.022186701220140236,0.28178761741486913
1176,0,-89,15,7510000.0,0.028536946601958168,0.3624404597814434
1176,0,-89,16,8010000.0,0.038403362494401724,0.48775128445834853
1176,0,-89,17,8510000.0,0.047517792844568404,0.6035113331011727
1176,0,-89,18,9010000.0,0.05122843289524138,0.6506392232993856
1176,0,-89,19,9510000.0,0.055509540948738285,0.7050124816905614
1176,0,-89,20,10010000.0,0.05779440794793189,0.7340319930376638
1176,0,-89,21,10510000.0,0.06041275536194885,0.7672869538378057
1176,0,-89,22,11010000.0,0.06382800622742485,0.8106631815477162
1176,0,-89,23,11510000.0,0.06832459151627454,0.8677731611916253
1176,0,-89,24,12010000.0,0.07287179702306273,0.9255260552762341
1176,0,-89,25,12510000.0,0.075227914742554,0.9554505037977525
1176,0,-89,26,13010000.0,0.0760455586033821,0.9658351893420594
1176,0,-89,27,13510000.0,0.07659342294387994,0.9727934742012486
1176,0,-89,28,14010000.0,0.07793155565810521,0.9897887555450178
1176,0,-89,29,14510000.0,0.07849431049913186,0.9969361608428199
1176,0,-89,30,15010000.0,0.07873399182209982,0.9999802920215765
1176,0,-89,31,15510000.0,0.07873552434154324,0.9999997561590486
1176,0,-89,32,16010000.0,0.07873552434154324,0.9999997561590486
1176,0,-89,33,16510000.0,0.07873552434154324,0.9999997561590486
1176,0,-89,34,17010000.0,0.07873552434154324,0.9999997561590486
1176,0,-89,35,17510000.0,0.07873552434154324,0.9999997561590486
1176,0,-89,36,18010000.0,0.07873552434154324,0.9999997561590486
1176,0,-89,37,18510000.0,0.07873552434154324,0.9999997561590486
1212,10,-89,0,10000.0,0.0,0.0
1212,10,-89,1,510000.0,0.0,0.0
1212,10,-89,2,1010000.0,0.0,0.0
1212,10,-89,3,1510000.0,0.0,0.0
1212,10,-89,4,2010000.0,0.0,0.0
1212,10,-89,5,2510000.0,7.40104591706031e-06,9.399879119719304e-05
1212,10,-89,6,3010000.0,0.0010381129733741386,0.01318480735247919
1212,10,-89,7,3510000.0,0.003208785144721764,0.04075395939918178
1212,10,-89,8,4010000.0,0.005556433881273607,0.07057084553453265
1212,10,-89,9,4510000.0,0.007431669471118462,0.09438773312457559
1212,10,-89,10,5010000.0,0.009014384851865386,0.11448939635794039
1212,10,-89,11,5510000.0,0.011017597602622043,0.1399316891354891
1212,10,-89,12,6010000.0,0.013200176677554376,0.16765206771914426
1212,10,-89,13,6510000.0,0.01743330508424998,0.2214159488882447
1212,10,-89,14,7010000.0,0.022198741414300702,0.28194053684133213
1212,10,-89,15,7510000.0,0.02857080767550347,0.3628705206157588
1212,10,-89,16,8010000.0,0.03838353541717702,0.48749946582176906
1212,10,-89,17,8510000.0,0.04751454457584466,0.6034700776709352
1212,10,-89,18,9010000.0,0.051279741084776405,0.6512908754913672
1212,10,-89,19,9510000.0,0.05552904602932232,0.7052602107301661
1212,10,-89,20,10010000.0,0.057857190161209104,0.7348293738704376
1212,10,-89,21,10510000.0,0.06049170839076491,0.7682897160626635
1212,10,-89,22,11010000.0,0.06388626164960241,0.8114030687645688
1212,10,-89,23,11510000.0,0.06844889225856454,0.869351873126548
1212,10,-89,24,12010000.0,0.07295483070513101,0.9265806448343231
1212,10,-89,25,12510000.0,0.07526508123576338,0.9559225459217808
1212,10,-89,26,13010000.0,0.07605148862618615,0.9659105050449478
1212,10,-89,27,13510000.0,0.0766326143308872,0.9732912339834884
1212,10,-89,28,14010000.0,0.07795501951983601,0.990086764051414
1212,10,-89,29,14510000.0,0.07850673227509339,0.9970939266421396
1212,10,-89,30,15010000.0,0.07873552070358784,0.9999997099543076
1212,10,-89,31,15510000.0,0.07873552434154324,0.9999997561590486
1212,10,-89,32,16010000.0,0.07873552434154324,0.9999997561590486
1212,10,-89,33,16510000.0,0.07873552434154324,0.9999997561590486
1212,10,-89,34,17010000.0,0.07873552434154324,0.9999997561590486
1212,10,-89,35,17510000.0,0.07873552434154324,0.9999997561590486
1212,10,-89,36,18010000.0,0.07873552434154324,0.9999997561590486
1212,10,-89,37,18510000.0,0.07873552434154324,0.9999997561590486
1248,20,-89,0,10000.0,0.0,0.0
1248,20,-89,1,510000.0,0.0,0.0
1248,20,-89,2,1010000.0,0.0,0.0
1248,20,-89,3,1510000.0,0.0,0.0
1248,20,-89,4,2010000.0,0.0,0.0
1248,20,-89,5,2510000.0,1.4835096550485964e-06,1.884167668551928e-05
1248,20,-89,6,3010000.0,0.0010438659274116006,0.013257874150252718
1248,20,-89,7,3510000.0,0.0031725170876821854,0.040293328083149435
1248,20,-89,8,4010000.0,0.005501879183086105,0.06987796026652855
