iloc,lon,lat,iradius,radius,ratio,ratio_map,region
1205,0,-89,0,10000.0,0.0002823687612648057,0.003572906532484938,rift_active
1205,0,-89,1,510000.0,0.04222234512794923,0.534253477788253,rift_active
1205,0,-89,2,1010000.0,0.048665999665507886,0.6157871973370984,rift_active
1205,0,-89,3,1510000.0,0.05212432201442288,0.6595465085885627,rift_active
1205,0,-89,4,2010000.0,0.05546908620479949,0.7018689304169853,rift_active
1205,0,-89,5,2510000.0,0.05953774320836587,0.7533510105216261,rift_active
1205,0,-89,6,3010000.0,0.06711412129743388,0.849217460640805,rift_active
1205,0,-89,7,3510000.0,0.07137363392466199,0.9031145008900737,rift_active
1205,0,-89,8,4010000.0,0.07555561304156543,0.9560304836587464,rift_active
1205,0,-89,9,4510000.0,0.07794085971416756,0.9862118088873397,rift_active
1205,0,-89,10,5010000.0,0.07823725773837693,0.9899622323837979,rift_active
1205,0,-89,11,5510000.0,0.07871322355211102,0.9959847872780173,rift_active
1205,0,-89,12,6010000.0,0.07872928002016955,0.9961879551474301,rift_active
1205,0,-89,13,6510000.0,0.07872928002016955,0.9961879551474301,rift_active
1205,0,-89,14,7010000.0,0.07872928002016955,0.9961879551474301,rift_active
1205,0,-89,15,7510000.0,0.078747241455295,0.996415227203323,rift_active
1205,0,-89,16,8010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,17,8510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,18,9010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,19,9510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,20,10010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,21,10510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,22,11010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,23,11510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,24,12010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,25,12510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,26,13010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,27,13510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,28,14010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,29,14510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,30,15010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,31,15510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,32,16010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,33,16510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,34,17010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,35,17510000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,36,18010000.0,0.07903053914281903,0.9999998877509649,rift_active
1205,0,-89,37,18510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,0,10000.0,0.0002625071043650052,0.0033215903338891526,rift_active
1241,10,-89,1,510000.0,0.0434632865774827,0.5499555256763035,rift_active
1241,10,-89,2,1010000.0,0.04750526894678949,0.6011000826974033,rift_active
1241,10,-89,3,1510000.0,0.05352902565247592,0.6773206943098308,rift_active
1241,10,-89,4,2010000.0,0.0578523903736261,0.7320256764945499,rift_active
1241,10,-89,5,2510000.0,0.06409087734845229,0.8109633421390704,rift_active
1241,10,-89,6,3010000.0,0.06841731165545495,0.8657071648219212,rift_active
1241,10,-89,7,3510000.0,0.07156333186793123,0.9055148125168619,rift_active
1241,10,-89,8,4010000.0,0.07650048798812638,0.9679863028996114,rift_active
1241,10,-89,9,4510000.0,0.07788965419345956,0.9855638882794884,rift_active
1241,10,-89,10,5010000.0,0.07814189759939123,0.9887556085986648,rift_active
1241,10,-89,11,5510000.0,0.07868807287042688,0.995666547276952,rift_active
1241,10,-89,12,6010000.0,0.07872928002016955,0.9961879551474301,rift_active
1241,10,-89,13,6510000.0,0.07872928002016955,0.9961879551474301,rift_active
1241,10,-89,14,7010000.0,0.07872928002016955,0.9961879551474301,rift_active
1241,10,-89,15,7510000.0,0.07885900740115993,0.9978294391589991,rift_active
1241,10,-89,16,8010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,17,8510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,18,9010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,19,9510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,20,10010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,21,10510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,22,11010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,23,11510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,24,12010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,25,12510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,26,13010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,27,13510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,28,14010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,29,14510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,30,15010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,31,15510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,32,16010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,33,16510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,34,17010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,35,17510000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,36,18010000.0,0.07903053914281903,0.9999998877509649,rift_active
1241,10,-89,37,18510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,0,10000.0,0.0002181757888197349,0.002760651346885532,rift_active
1277,20,-89,1,510000.0,0.04063598964246382,0.514180790386339,rift_active
1277,20,-89,2,1010000.0,0.04421281804617754,0.5594395984498189,rift_active
1277,20,-89,3,1510000.0,0.04879674869264632,0.6174416085796397,rift_active
1277,20,-89,4,2010000.0,0.05619051732300292,0.7109974400418502,rift_active
1277,20,-89,5,2510000.0,0.06148967149916104,0.7780494130994664,rift_active
1277,20,-89,6,3010000.0,0.06761613483094997,0.8555696060596583,rift_active
1277,20,-89,7,3510000.0,0.06953331826614997,0.8798283703397981,rift_active
1277,20,-89,8,4010000.0,0.0742916339637838,0.9400369329426491,rift_active
1277,20,-89,9,4510000.0,0.07730128298203448,0.9781190302314152,rift_active
1277,20,-89,10,5010000.0,0.07778034581357375,0.9841807727294539,rift_active
1277,20,-89,11,5510000.0,0.07838045723740475,0.9917741836181811,rift_active
1277,20,-89,12,6010000.0,0.07872928002016955,0.9961879551474301,rift_active
1277,20,-89,13,6510000.0,0.07872928002016955,0.9961879551474301,rift_active
1277,20,-89,14,7010000.0,0.07872928002016955,0.9961879551474301,rift_active
1277,20,-89,15,7510000.0,0.07877018591750205,0.9967055511702402,rift_active
1277,20,-89,16,8010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,17,8510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,18,9010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,19,9510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,20,10010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,21,10510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,22,11010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,23,11510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,24,12010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,25,12510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,26,13010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,27,13510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,28,14010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,29,14510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,30,15010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,31,15510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,32,16010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,33,16510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,34,17010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,35,17510000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,36,18010000.0,0.07903053914281903,0.9999998877509649,rift_active
1277,20,-89,37,18510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,0,10000.0,0.00026365184382623567,0.003336075105790631,rift_active
1090,30,-89,1,510000.0,0.037856977291284455,0.47901701611148745,rift_active
1090,30,-89,2,1010000.0,0.0417078177053942,0.5277429899391192,rift_active
1090,30,-89,3,1510000.0,0.04578293576327766,0.5793068239285482,rift_active
1090,30,-89,4,2010000.0,0.051591742201083084,0.6528075977911078,rift_active
1090,30,-89,5,2510000.0,0.05915012752225626,0.7484463793903663,rift_active
1090,30,-89,6,3010000.0,0.06472823320508705,0.8190280193133005,rift_active
1090,30,-89,7,3510000.0,0.06828033129131059,0.8639739063846872,rift_active
1090,30,-89,8,4010000.0,0.07198301522082742,0.9108252065789435,rift_active
1090,30,-89,9,4510000.0,0.0749244420874932,0.948044066128641,rift_active
1090,30,-89,10,5010000.0,0.07679074605182072,0.971659035418728,rift_active
1090,30,-89,11,5510000.0,0.07787156546664913,0.9853350055592617,rift_active
1090,30,-89,12,6010000.0,0.07868807287042688,0.995666547276952,rift_active
1090,30,-89,13,6510000.0,0.07872928002016955,0.9961879551474301,rift_active
1090,30,-89,14,7010000.0,0.07872928002016955,0.9961879551474301,rift_active
1090,30,-89,15,7510000.0,0.07877456131775529,0.9967609145754448,rift_active
1090,30,-89,16,8010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,17,8510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,18,9010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,19,9510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,20,10010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,21,10510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,22,11010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,23,11510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,24,12010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,25,12510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,26,13010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,27,13510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,28,14010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,29,14510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,30,15010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,31,15510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,32,16010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,33,16510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,34,17010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,35,17510000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,36,18010000.0,0.07903053914281903,0.9999998877509649,rift_active
1090,30,-89,37,18510000.0,0.07903053914281903,0.9999998877509649,rift_active
1126,40,-89,0,10000.0,0.000472493400600265,0.005978617287545974,rift_active
1126,40,-89,1,510000.0,0.0348337120698687,0.4407626284425169,rift_active
