iloc,lon,lat,iradius,radius,ratio,ratio_map,region
1176,0,-89,0,10000.0,0.0,0.0,wrinkles
1176,0,-89,1,510000.0,0.0,0.0,wrinkles
1176,0,-89,2,1010000.0,0.00014922062162397282,0.00044779493546652163,wrinkles
1176,0,-89,3,1510000.0,0.005536999548330041,0.016615936379561894,wrinkles
1176,0,-89,4,2010000.0,0.013592470628167484,0.040789533253043415,wrinkles
1176,0,-89,5,2510000.0,0.022693473239115074,0.06810065709435568,wrinkles
1176,0,-89,6,3010000.0,0.03252903074969697,0.09761610068918865,wrinkles
1176,0,-89,7,3510000.0,0.045161922206685856,0.1355260407040016,wrinkles
1176,0,-89,8,4010000.0,0.05961283146839391,0.17889165538818225,wrinkles
1176,0,-89,9,4510000.0,0.07263850699467307,0.21798029788423362,wrinkles
1176,0,-89,10,5010000.0,0.0858573575288651,0.2576486376718568,wrinkles
1176,0,-89,11,5510000.0,0.09753933943482232,0.2927050010401943,wrinkles
1176,0,-89,12,6010000.0,0.10666932192740941,0.3201030903698376,wrinkles
1176,0,-89,13,6510000.0,0.11486336403072817,0.34469252388735694,wrinkles
1176,0,-89,14,7010000.0,0.12016792491764929,0.3606109370006787,wrinkles
1176,0,-89,15,7510000.0,0.12539682777637626,0.3763023085597969,wrinkles
1176,0,-89,16,8010000.0,0.1312253638897759,0.39379311461836636,wrinkles
1176,0,-89,17,8510000.0,0.13600272372634223,0.40812945443811616,wrinkles
1176,0,-89,18,9010000.0,0.14333176611914805,0.43012311744260423,wrinkles
1176,0,-89,19,9510000.0,0.15237165198693214,0.4572508365522984,wrinkles
1176,0,-89,20,10010000.0,0.16197389135408077,0.4860661176505218,wrinkles
1176,0,-89,21,10510000.0,0.17267634545717997,0.5181830240959832,wrinkles
1176,0,-89,22,11010000.0,0.18324481085911848,0.5498978449507498,wrinkles
1176,0,-89,23,11510000.0,0.19726942444844914,0.5919841924597613,wrinkles
1176,0,-89,24,12010000.0,0.21019537942825187,0.6307735843885108,wrinkles
1176,0,-89,25,12510000.0,0.22425524798696592,0.6729657282450251,wrinkles
1176,0,-89,26,13010000.0,0.23843186372304925,0.715508217745372,wrinkles
1176,0,-89,27,13510000.0,0.2515122042877734,0.7547609041054438,wrinkles
1176,0,-89,28,14010000.0,0.2666582502437714,0.8002125487751073,wrinkles
1176,0,-89,29,14510000.0,0.28417899088140913,0.8527903951730895,wrinkles
1176,0,-89,30,15010000.0,0.2990797346568589,0.8975059145477838,wrinkles
1176,0,-89,31,15510000.0,0.3080329676259581,0.9243735976868978,wrinkles
1176,0,-89,32,16010000.0,0.31495183559272083,0.9451363716316764,wrinkles
1176,0,-89,33,16510000.0,0.32073819022315264,0.9625005956251271,wrinkles
